Sample	Individual	Group	Species	Location	Infection
Mylu11_UVneg	Mylu11	MyluUVneg	Mylu	PA	Uninfected
Mylu11_UVpos	Mylu11	MyluUVpos	Mylu	PA	Infected
Mylu16_UVneg	Mylu16	MyluUVneg	Mylu	PA	Uninfected
Mylu16_UVpos	Mylu16	MyluUVpos	Mylu	PA	Infected
Mylu21_UVneg	Mylu21	MyluUVneg	Mylu	PA	Uninfected
Mylu21_UVpos	Mylu21	MyluUVpos	Mylu	PA	Infected
Mylu23_UVneg	Mylu23	MyluUVneg	Mylu	PA	Uninfected
Mylu23_UVpos	Mylu23	MyluUVpos	Mylu	PA	Infected
Mylu8_UVneg	Mylu08	MyluUVneg	Mylu	PA	Uninfected
Mylu8_UVpos	Mylu08	MyluUVpos	Mylu	PA	Infected
Mymy02_UVneg	Mymy02	MymyUVneg	Mymy	Eur	Uninfected
Mymy02_UVpos	Mymy02	MymyUVpos	Mymy	Eur	Infected
Mymy09_UVneg	Mymy09	MymyUVneg	Mymy	Eur	Uninfected
Mymy09_UVpos	Mymy09	MymyUVpos	Mymy	Eur	Infected
Mymy13_UVneg	Mymy13	MymyUVneg	Mymy	Eur	Uninfected
Mymy13_UVpos	Mymy13	MymyUVpos	Mymy	Eur	Infected
Mymy17_UVneg	Mymy17	MymyUVneg	Mymy	Eur	Uninfected
Mymy17_UVpos	Mymy17	MymyUVpos	Mymy	Eur	Infected
Mymy18_UVneg	Mymy18	MymyUVneg	Mymy	Eur	Uninfected
Mymy18_UVpos	Mymy18	MymyUVpos	Mymy	Eur	Infected
