Allign,DE,Dir,GeneName
Bowtie,EdgeR,down,FBtr0085105
Bowtie,EdgeR,down,FBtr0073120
Bowtie,EdgeR,down,FBtr0085085
Bowtie,EdgeR,down,FBtr0339391
Bowtie,EdgeR,down,FBtr0086613
Bowtie,EdgeR,down,FBtr0346714
Bowtie,EdgeR,down,FBtr0100508
Bowtie,EdgeR,down,FBtr0100504
Bowtie,EdgeR,down,FBtr0337020
Bowtie,EdgeR,down,FBtr0083467
Bowtie,EdgeR,down,FBtr0073974
Bowtie,EdgeR,down,FBtr0084465
Bowtie,EdgeR,down,FBtr0080389
Bowtie,EdgeR,down,FBtr0076545
Bowtie,EdgeR,down,FBtr0300272
Bowtie,EdgeR,down,FBtr0084911
Bowtie,EdgeR,down,FBtr0307015
Bowtie,EdgeR,down,FBtr0075699
Bowtie,EdgeR,down,FBtr0081257
Bowtie,EdgeR,down,FBtr0086676
Bowtie,EdgeR,down,FBtr0080839
Bowtie,EdgeR,down,FBtr0340135
Bowtie,EdgeR,down,FBtr0073359
Bowtie,EdgeR,down,FBtr0301413
Bowtie,EdgeR,down,FBtr0077920
Bowtie,EdgeR,down,FBtr0087820
Bowtie,EdgeR,down,FBtr0308213
Bowtie,EdgeR,down,FBtr0072635
Bowtie,EdgeR,down,FBtr0075199
Bowtie,EdgeR,down,FBtr0076453
Bowtie,EdgeR,down,FBtr0078069
Bowtie,EdgeR,down,FBtr0078841
Bowtie,EdgeR,down,FBtr0089978
Bowtie,EdgeR,down,FBtr0334586
Bowtie,EdgeR,down,FBtr0089485
Bowtie,EdgeR,down,FBtr0340190
Bowtie,EdgeR,down,FBtr0075942
Bowtie,EdgeR,down,FBtr0300542
Bowtie,EdgeR,down,FBtr0336697
Bowtie,EdgeR,down,FBtr0087618
Bowtie,EdgeR,down,FBtr0087617
Bowtie,EdgeR,down,FBtr0273224
Bowtie,EdgeR,down,FBtr0301964
Bowtie,EdgeR,down,FBtr0077008
Bowtie,EdgeR,down,FBtr0306254
Bowtie,EdgeR,down,FBtr0073839
Bowtie,EdgeR,down,FBtr0302291
Bowtie,EdgeR,down,FBtr0305917
Bowtie,EdgeR,down,FBtr0114506
Bowtie,EdgeR,down,FBtr0075928
Bowtie,EdgeR,down,FBtr0081614
Bowtie,EdgeR,down,FBtr0301838
Bowtie,EdgeR,down,FBtr0301837
Bowtie,EdgeR,down,FBtr0087258
Bowtie,EdgeR,down,FBtr0310064
Bowtie,EdgeR,down,FBtr0077310
Bowtie,EdgeR,down,FBtr0076427
Bowtie,EdgeR,down,FBtr0346711
Bowtie,EdgeR,down,FBtr0089263
Bowtie,EdgeR,down,FBtr0308232
Bowtie,EdgeR,down,FBtr0304914
Bowtie,EdgeR,down,FBtr0072102
Bowtie,EdgeR,down,FBtr0335180
Bowtie,EdgeR,down,FBtr0088663
Bowtie,EdgeR,down,FBtr0308644
Bowtie,EdgeR,down,FBtr0070392
Bowtie,EdgeR,down,FBtr0071537
Bowtie,EdgeR,down,FBtr0072712
Bowtie,EdgeR,down,FBtr0082889
Bowtie,EdgeR,down,FBtr0344560
Bowtie,EdgeR,down,FBtr0081635
Bowtie,EdgeR,down,FBtr0346276
Bowtie,EdgeR,down,FBtr0332963
Bowtie,EdgeR,down,FBtr0303709
Bowtie,EdgeR,down,FBtr0346541
Bowtie,EdgeR,down,FBtr0076454
Bowtie,EdgeR,down,FBtr0075541
Bowtie,EdgeR,down,FBtr0082018
Bowtie,EdgeR,down,FBtr0082017
Bowtie,EdgeR,down,FBtr0344873
Bowtie,EdgeR,down,FBtr0100470
Bowtie,EdgeR,down,FBtr0331507
Bowtie,EdgeR,down,FBtr0302833
Bowtie,EdgeR,down,FBtr0088266
Bowtie,EdgeR,down,FBtr0112735
Bowtie,EdgeR,down,FBtr0302453
Bowtie,EdgeR,down,FBtr0079199
Bowtie,EdgeR,down,FBtr0331664
Bowtie,EdgeR,down,FBtr0331663
Bowtie,EdgeR,down,FBtr0331662
Bowtie,EdgeR,down,FBtr0299538
Bowtie,EdgeR,down,FBtr0073426
Bowtie,EdgeR,down,FBtr0073292
Bowtie,EdgeR,down,FBtr0071849
Bowtie,EdgeR,down,FBtr0077644
Bowtie,EdgeR,down,FBtr0301487
Bowtie,EdgeR,down,FBtr0089581
Bowtie,EdgeR,down,FBtr0300649
Bowtie,EdgeR,down,FBtr0310621
Bowtie,EdgeR,down,FBtr0336667
Bowtie,EdgeR,down,FBtr0301884
Bowtie,EdgeR,down,FBtr0072957
Bowtie,EdgeR,down,FBtr0080846
Bowtie,EdgeR,down,FBtr0299837
Bowtie,EdgeR,down,FBtr0086774
Bowtie,EdgeR,down,FBtr0472696
Bowtie,EdgeR,down,FBtr0308823
Bowtie,EdgeR,down,FBtr0088136
Bowtie,EdgeR,down,FBtr0088137
Bowtie,EdgeR,down,FBtr0343571
Bowtie,EdgeR,down,FBtr0342808
Bowtie,EdgeR,down,FBtr0342814
Bowtie,EdgeR,down,FBtr0342813
Bowtie,EdgeR,down,FBtr0342810
Bowtie,EdgeR,down,FBtr0342820
Bowtie,EdgeR,down,FBtr0342819
Bowtie,EdgeR,down,FBtr0342805
Bowtie,EdgeR,down,FBtr0079779
Bowtie,EdgeR,down,FBtr0076772
Bowtie,EdgeR,down,FBtr0305063
Bowtie,EdgeR,down,FBtr0300815
Bowtie,EdgeR,down,FBtr0334846
