Id	SSD011MYUN	SSD090MYUN	SSD094EPIN	SSD097EPIN	SSD148EPIN	SSD092EPUN	SSD149EPUN	SSD159EPUN	SSD163EPUN	SSD016MYIN	SSD110MYIN	SSD120MYIN	norm.SSD011MYUN	norm.SSD090MYUN	norm.SSD094EPIN	norm.SSD097EPIN	norm.SSD148EPIN	norm.SSD092EPUN	norm.SSD149EPUN	norm.SSD159EPUN	norm.SSD163EPUN	norm.SSD016MYIN	norm.SSD110MYIN	norm.SSD120MYIN	baseMean	MYUN	EPIN	EPUN	MYIN	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
gene15584	191	744	0	2	0	28	24	12	93	685	231	205	175	666	0	2	0	35	29	11	139	518	205	227	167.28	420	1	54	317	67.42	6.075	1.08713563348202e-07	0.000523999375338335	0.484	0.328
gene20541	4	115	0	0	0	2	0	559	616	90	41	127	4	103	0	0	0	3	0	490	921	68	36	140	147.1	54	0	354	81	2827.824	11.465	1.46368190357339e-06	0.00423296806513425	1.553	0.35
gene18849	51	170	0	0	0	17	7	32	6	57	69	52	47	152	0	0	0	22	8	28	9	43	61	57	35.66	100	0	17	54	135.868	7.086	5.46336897550432e-06	0.0112857593408275	0.6324	0.9267
gene14502	55	116	4	2	0	0	107	150	227	120	177	46	50	104	4	2	0	0	129	131	340	91	157	51	88.19	77	2	150	100	73.418	6.198	7.18363385060855e-06	0.0129844181849749	0.8435	0.4699
gene15479	1233	568	2	0	2	2	18	63	153	368	147	1880	1130	509	2	0	2	3	22	55	229	278	131	2079	369.87	820	1	77	829	52.642	5.718	9.90055001513855e-06	0.0145595848653295	0.7387	0.2273
gene31312	0	85	2	0	0	20	0	815	1292	41	40	128	0	76	2	0	0	25	0	714	1932	31	36	142	246.48	38	1	668	70	883.4	9.787	1.02976498936339e-05	0.0145595848653295	1.6329	0.2768
gene128	1771	2676	161	111	122	495	347	613	192	1372	620	1189	1623	2397	146	110	136	627	417	537	287	1038	551	1315	765.28	2010	131	467	968	3.574	1.837	1.61877103228351e-05	0.0167195922334425	0.1291	0.1506
gene26297	2908	3811	4	16	2	27	11	143	25	3344	2948	2110	2665	3414	4	16	2	34	13	125	37	2529	2619	2333	1149.27	3040	7	52	2494	7.184	2.845	1.53268793275798e-05	0.0167195922334425	0.2423	0.1258
gene16995	1452	13	0	2	0	19	20	35	20	285	151	61	1331	12	0	2	0	24	24	31	30	216	134	67	155.84	672	1	27	139	34.567	5.111	4.39969075521645e-05	0.0414446188372824	0.6465	0.3391
gene13764	462	400	24	34	139	635	559	164	323	322	128	118	423	358	22	34	155	805	672	144	483	244	114	130	298.55	390	70	526	163	7.509	2.909	5.34574188430115e-05	0.0442488420785239	0.3376	0.2534
gene28690	287	390	0	0	0	8	4	10	0	432	279	341	263	349	0	0	0	10	5	9	0	327	248	377	132.3	306	0	6	317	49.817	5.639	5.50815461558389e-05	0.0442488420785239	0.3416	0.368
