Align,DE,Dir,GeneName
sailfish,edgeR,up,FBtr0073120
sailfish,edgeR,up,FBtr0085085
sailfish,edgeR,up,FBtr0339391
sailfish,edgeR,up,FBtr0337020
sailfish,edgeR,up,FBtr0083467
sailfish,edgeR,up,FBtr0084465
sailfish,edgeR,up,FBtr0080389
sailfish,edgeR,up,FBtr0333326
sailfish,edgeR,up,FBtr0080171
sailfish,edgeR,up,FBtr0076545
sailfish,edgeR,up,FBtr0075699
sailfish,edgeR,up,FBtr0302977
sailfish,edgeR,up,FBtr0086676
sailfish,edgeR,up,FBtr0080839
sailfish,edgeR,up,FBtr0340135
sailfish,edgeR,up,FBtr0073359
sailfish,edgeR,up,FBtr0301413
sailfish,edgeR,up,FBtr0077920
sailfish,edgeR,up,FBtr0072635
sailfish,edgeR,up,FBtr0075199
sailfish,edgeR,up,FBtr0076453
sailfish,edgeR,up,FBtr0078841
sailfish,edgeR,up,FBtr0334586
sailfish,edgeR,up,FBtr0301824
sailfish,edgeR,up,FBtr0075942
sailfish,edgeR,up,FBtr0087617
sailfish,edgeR,up,FBtr0077008
sailfish,edgeR,up,FBtr0306254
sailfish,edgeR,up,FBtr0302291
sailfish,edgeR,up,FBtr0305917
sailfish,edgeR,up,FBtr0310643
sailfish,edgeR,up,FBtr0075928
sailfish,edgeR,up,FBtr0081614
sailfish,edgeR,up,FBtr0301838
sailfish,edgeR,up,FBtr0301837
sailfish,edgeR,up,FBtr0087258
sailfish,edgeR,up,FBtr0310064
sailfish,edgeR,up,FBtr0346711
sailfish,edgeR,up,FBtr0308232
sailfish,edgeR,up,FBtr0304914
sailfish,edgeR,up,FBtr0329949
sailfish,edgeR,up,FBtr0072102
sailfish,edgeR,up,FBtr0335183
sailfish,edgeR,up,FBtr0335180
sailfish,edgeR,up,FBtr0088663
sailfish,edgeR,up,FBtr0308644
sailfish,edgeR,up,FBtr0071537
sailfish,edgeR,up,FBtr0330729
sailfish,edgeR,up,FBtr0081635
sailfish,edgeR,up,FBtr0346276
sailfish,edgeR,up,FBtr0332963
sailfish,edgeR,up,FBtr0303709
sailfish,edgeR,up,FBtr0076454
sailfish,edgeR,up,FBtr0333071
sailfish,edgeR,up,FBtr0075541
sailfish,edgeR,up,FBtr0344873
sailfish,edgeR,up,FBtr0100470
sailfish,edgeR,up,FBtr0083122
sailfish,edgeR,up,FBtr0331507
sailfish,edgeR,up,FBtr0302833
sailfish,edgeR,up,FBtr0088266
sailfish,edgeR,up,FBtr0079199
sailfish,edgeR,up,FBtr0331663
