Align,DE,Dir,GeneName
salmon,edgeR,down,FBtr0072393
salmon,edgeR,down,FBtr0087390
salmon,edgeR,down,FBtr0337056
salmon,edgeR,down,FBtr0079708
salmon,edgeR,down,FBtr0336736
salmon,edgeR,down,FBtr0088550
salmon,edgeR,down,FBtr0082183
salmon,edgeR,down,FBtr0089921
salmon,edgeR,down,FBtr0087307
salmon,edgeR,down,FBtr0071835
salmon,edgeR,down,FBtr0306917
salmon,edgeR,down,FBtr0070393
salmon,edgeR,down,FBtr0082790
salmon,edgeR,down,FBtr0080391
salmon,edgeR,down,FBtr0334762
salmon,edgeR,down,FBtr0086975
salmon,edgeR,down,FBtr0301651
salmon,edgeR,down,FBtr0085377
salmon,edgeR,down,FBtr0072967
salmon,edgeR,down,FBtr0073378
salmon,edgeR,down,FBtr0080617
salmon,edgeR,down,FBtr0089963
salmon,edgeR,down,FBtr0087008
salmon,edgeR,down,FBtr0339643
salmon,edgeR,down,FBtr0300190
salmon,edgeR,down,FBtr0071935
salmon,edgeR,down,FBtr0305668
salmon,edgeR,down,FBtr0074916
salmon,edgeR,down,FBtr0345114
salmon,edgeR,down,FBtr0075389
salmon,edgeR,down,FBtr0080838
salmon,edgeR,down,FBtr0110932
salmon,edgeR,down,FBtr0078811
salmon,edgeR,down,FBtr0100199
salmon,edgeR,down,FBtr0085755
salmon,edgeR,down,FBtr0309301
salmon,edgeR,down,FBtr0083252
salmon,edgeR,down,FBtr0071105
salmon,edgeR,down,FBtr0085249
salmon,edgeR,down,FBtr0273370
salmon,edgeR,down,FBtr0332746
salmon,edgeR,down,FBtr0088370
salmon,edgeR,down,FBtr0112851
salmon,edgeR,down,FBtr0333662
salmon,edgeR,down,FBtr0081008
salmon,edgeR,down,FBtr0089937
salmon,edgeR,down,FBtr0087004
salmon,edgeR,down,FBtr0100375
salmon,edgeR,down,FBtr0100457
salmon,edgeR,down,FBtr0089484
salmon,edgeR,down,FBtr0308034
salmon,edgeR,down,FBtr0310647
salmon,edgeR,down,FBtr0087621
salmon,edgeR,down,FBtr0301450
salmon,edgeR,down,FBtr0112532
salmon,edgeR,down,FBtr0087431
salmon,edgeR,down,FBtr0303756
salmon,edgeR,down,FBtr0085715
salmon,edgeR,down,FBtr0070457
salmon,edgeR,down,FBtr0306255
salmon,edgeR,down,FBtr0075753
salmon,edgeR,down,FBtr0333020
salmon,edgeR,down,FBtr0087415
salmon,edgeR,down,FBtr0100361
salmon,edgeR,down,FBtr0082208
salmon,edgeR,down,FBtr0089877
salmon,edgeR,down,FBtr0075927
salmon,edgeR,down,FBtr0111027
salmon,edgeR,down,FBtr0111030
salmon,edgeR,down,FBtr0302695
salmon,edgeR,down,FBtr0302692
salmon,edgeR,down,FBtr0111032
salmon,edgeR,down,FBtr0111029
salmon,edgeR,down,FBtr0302694
salmon,edgeR,down,FBtr0087257
salmon,edgeR,down,FBtr0302645
salmon,edgeR,down,FBtr0085094
salmon,edgeR,down,FBtr0334309
salmon,edgeR,down,FBtr0071048
salmon,edgeR,down,FBtr0082139
salmon,edgeR,down,FBtr0303787
salmon,edgeR,down,FBtr0300612
salmon,edgeR,down,FBtr0084028
salmon,edgeR,down,FBtr0307521
salmon,edgeR,down,FBtr0307520
salmon,edgeR,down,FBtr0336616
salmon,edgeR,down,FBtr0078204
salmon,edgeR,down,FBtr0308065
salmon,edgeR,down,FBtr0301403
