Id	SSD011MYUN	SSD090MYUN	SSD094EPIN	SSD097EPIN	SSD148EPIN	SSD092EPUN	SSD149EPUN	SSD159EPUN	SSD163EPUN	SSD016MYIN	SSD110MYIN	SSD120MYIN	norm.SSD011MYUN	norm.SSD090MYUN	norm.SSD094EPIN	norm.SSD097EPIN	norm.SSD148EPIN	norm.SSD092EPUN	norm.SSD149EPUN	norm.SSD159EPUN	norm.SSD163EPUN	norm.SSD016MYIN	norm.SSD110MYIN	norm.SSD120MYIN	baseMean	MYUN	EPIN	EPUN	MYIN	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
gene10737	6570	9576	1188	817	957	679	800	1862	1022	1808	1298	1145	6021	8578	1077	811	1065	860	961	1631	1529	1367	1153	1266	2193.37	7300	984	1245	1262	0.173	-2.532	1.058176670098e-10	1.5301234649617e-06	0.0877	0.1172
gene15598	1804	3394	1364	1098	480	858	585	2208	301	443	266	224	1653	3040	1237	1090	534	1087	703	1934	450	335	236	248	1045.7	2346	954	1044	273	0.116	-3.103	2.00992146622989e-08	9.68782146722807e-05	0.1688	0.1301
gene23994	2103	7493	113	49	15	51	136	217	53	585	373	386	1927	6712	102	49	17	65	163	190	79	442	331	427	875.44	4320	56	124	400	0.093	-3.432	1.3400072977597e-07	0.000462381255843855	0.2298	0.1406
gene457	51	331	518	892	1847	2375	1166	1160	1021	18	15	10	47	297	470	886	2056	3009	1401	1016	1527	14	13	11	895.48	172	1137	1738	13	0.075	-3.743	1.59882868549051e-07	0.000462381255843855	0.2521	0.1392
gene21256	535	5332	1017	1122	685	852	323	1424	594	369	319	82	490	4776	922	1114	762	1079	388	1247	888	279	283	91	1026.83	2633	933	900	218	0.083	-3.594	2.91725904051706e-07	0.000564846165618956	0.2633	0.131
gene4750	12642	29060	4319	3460	3525	3816	3342	5948	2750	6061	5035	4040	11586	26032	3917	3435	3923	4835	4016	5211	4113	4584	4473	4467	6715.85	18809	3758	4544	4508	0.24	-2.061	3.51564003497276e-07	0.000564846165618956	0.0955	0.1326
gene5350	3226	7209	268	477	419	174	323	293	279	1381	898	956	2956	6458	243	474	466	220	388	257	417	1044	798	1057	1231.57	4707	394	320	966	0.205	-2.284	3.32464869719038e-07	0.000564846165618956	0.1155	0.1233
gene13264	537	1923	4046	2113	2843	1696	1520	2139	2298	210	245	226	492	1723	3669	2098	3164	2149	1826	1874	3437	159	218	250	1754.88	1108	2977	2322	209	0.188	-2.408	7.03008605056584e-07	0.000847125369093184	0.1338	0.117
gene27051	75	1577	624	689	861	1012	709	747	591	88	61	40	69	1413	566	684	958	1282	852	654	884	67	54	44	627.26	741	736	918	55	0.074	-3.747	5.87313430087497e-07	0.000847125369093184	0.2951	0.1684
gene12271	10278	11632	1584	2101	1794	2712	1681	1670	771	3618	1802	2137	9419	10420	1436	2086	1997	3436	2020	1463	1153	2736	1601	2363	3344.16	9920	1840	2018	2233	0.225	-2.151	1.75053075075199e-06	0.00166058230818037	0.1176	0.1225
gene15579	4948	9358	1307	893	1581	1067	919	2689	1483	2666	1028	984	4535	8383	1185	887	1760	1352	1104	2356	2218	2016	913	1088	2316.35	6459	1277	1758	1339	0.207	-2.27	1.6683306817965e-06	0.00166058230818037	0.1298	0.1176
gene26527	5805	5934	898	460	919	818	449	2357	899	1624	1162	944	5320	5316	814	457	1023	1036	540	2065	1345	1228	1032	1044	1768.24	5318	765	1246	1101	0.207	-2.271	1.7476837154101e-06	0.00166058230818037	0.1304	0.117
gene29369	1675	3332	662	526	512	489	457	1175	644	698	427	589	1535	2985	600	522	570	620	549	1029	963	528	379	651	910.99	2260	564	790	519	0.23	-2.121	1.83743547239875e-06	0.00166058230818037	0.1143	0.138
gene31236	209	136	0	0	0	0	0	0	0	0	0	0	192	122	0	0	0	0	0	0	0	0	0	0	26.11	157	0	0	0	0.001	-10.293	3.90586646233182e-06	0.0033222840614893	1.3991	1.1605
gene7090	2425	6825	493	586	709	309	349	619	310	1715	853	914	2222	6114	447	582	789	391	419	542	464	1297	758	1011	1253.02	4168	606	454	1022	0.245	-2.028	4.48198226599545e-06	0.00360052575368301	0.1138	0.1228
