Id	SSD011MYUN	SSD090MYUN	SSD094EPIN	SSD097EPIN	SSD148EPIN	SSD092EPUN	SSD149EPUN	SSD159EPUN	SSD163EPUN	SSD016MYIN	SSD110MYIN	SSD120MYIN	norm.SSD011MYUN	norm.SSD090MYUN	norm.SSD094EPIN	norm.SSD097EPIN	norm.SSD148EPIN	norm.SSD092EPUN	norm.SSD149EPUN	norm.SSD159EPUN	norm.SSD163EPUN	norm.SSD016MYIN	norm.SSD110MYIN	norm.SSD120MYIN	baseMean	MYUN	EPIN	EPUN	MYIN	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
gene2256	333	446	2782	2712	2909	2025	2202	2149	1463	1851	2322	1914	305	400	2523	2692	3238	2566	2646	1883	2188	1400	2063	2116	2001.58	352	2818	2321	1860	5.275	2.399	3.94154007334389e-09	2.84973347302764e-05	0.0778	0.1168
gene27415	0	0	2	0	0	0	0	0	0	356	196	147	0	0	2	0	0	0	0	0	0	269	174	163	50.64	0	1	0	202	1616.962	10.659	2.10727823841842e-07	0.00050785405545884	0.7129	0.7043
gene4265	0	4	87	266	71	48	348	169	70	149	477	65	0	4	79	264	79	61	418	148	105	113	424	72	147.13	2	141	183	203	105.342	6.719	6.93851359841924e-07	0.000847125369093184	0.5014	0.3492
gene30474	6018	4692	17898	12184	13063	19339	13985	17156	9326	24670	22982	15175	5515	4203	16231	12096	14539	24502	16805	15029	13949	18657	20415	16778	14893.32	4859	14289	17571	18617	3.831	1.938	9.12559362900409e-06	0.00628362304168567	0.0948	0.1401
gene14999	769	814	1478	971	1210	781	1037	1506	750	3056	3288	1680	705	729	1340	964	1347	990	1246	1319	1122	2311	2921	1857	1404.25	717	1217	1169	2363	3.296	1.721	1.07124368071549e-05	0.00645424317631084	0.077	0.1198
gene1576	1	4	68	129	65	53	99	96	69	119	105	19	1	4	62	128	72	67	119	84	103	90	93	21	70.36	2	87	93	68	28.701	4.843	1.20175575509462e-05	0.00695095528746729	0.382	0.5511
gene13080	0	6	312	670	338	397	411	183	225	38	57	35	0	5	283	665	376	503	494	160	337	29	51	39	245.12	2	441	374	40	13.94	3.801	2.26218973208039e-05	0.0100819969124366	0.254	0.2772
gene15523	0	2	658	756	529	562	644	581	401	18	18	11	0	2	597	751	589	712	774	509	600	14	16	12	381.19	1	646	649	14	13.678	3.774	2.0689004910899e-05	0.0100819969124366	0.1361	0.2238
gene22424	0	2	85	114	118	57	66	119	89	16	168	16	0	2	77	113	131	72	79	104	133	12	149	18	74.28	1	107	97	60	58.246	5.864	2.3251301910824e-05	0.0100819969124366	0.5253	0.5298
gene26695	527	630	197	316	272	306	276	316	193	1885	3848	1686	483	564	179	314	303	388	332	277	289	1426	3418	1864	819.6	524	265	322	2236	4.269	2.094	2.23806283228071e-05	0.0100819969124366	0.1187	0.1453
gene4145	1012	438	399	673	739	537	506	607	424	2822	3452	2670	927	392	362	668	823	680	608	532	634	2134	3066	2952	1148.27	660	618	614	2717	4.118	2.042	2.19134352557158e-05	0.0100819969124366	0.1133	0.1259
gene29346	79	378	225	313	176	160	174	142	104	1377	1355	1261	72	339	204	311	196	203	209	124	156	1041	1204	1394	454.39	206	237	173	1213	5.898	2.56	4.8103787127322e-05	0.0158974574028788	0.1836	0.2028
gene28746	11	15	253	217	272	268	217	335	360	89	79	108	10	13	229	215	303	340	261	293	538	67	70	119	205.02	12	249	358	85	7.198	2.848	5.08602230983898e-05	0.0163430850222826	0.1978	0.2998
gene10776	0	0	26	6	37	6	24	125	40	21	59	48	0	0	24	6	41	8	29	110	60	16	52	53	33.15	0	24	52	40	324.18	8.341	6.40866817706934e-05	0.0197168812426431	0.8488	0.9863
gene29678	0	0	69	73	72	87	94	45	131	21	4	24	0	0	63	72	80	110	113	39	196	16	4	27	59.97	0	72	114	16	122.882	6.941	7.16260404246408e-05	0.0214771719754219	0.5119	0.6263
gene10382	0	12	11	19	60	6	20	6	24	474	1992	8	0	11	10	19	67	8	24	5	36	358	1770	9	193	6	32	18	712	129.324	7.015	8.22841963756821e-05	0.0215564599423662	0.9123	0.3073
gene22272	113	52	641	1146	310	500	566	881	484	611	221	648	104	47	581	1138	345	633	680	772	724	462	196	716	533.2	76	688	702	458	6.095	2.608	7.65403769136596e-05	0.0215564599423662	0.1974	0.185
gene21063	0	0	107	343	64	45	14	285	90	57	16	4	0	0	97	341	71	57	17	250	135	43	14	4	85.72	0	170	115	20	166.789	7.382	0.000108789510011828	0.0253725212059844	0.6821	0.478
