Align,DE,Dir,GeneName 
bowtie2,limma,up,FBtr0076772
bowtie2,limma,up,FBtr0077644
bowtie2,limma,up,FBtr0072506
bowtie2,limma,up,FBtr0075699
bowtie2,limma,up,FBtr0077247
bowtie2,limma,up,FBtr0347567
bowtie2,limma,up,FBtr0340240
bowtie2,limma,up,FBtr0342810
bowtie2,limma,up,FBtr0337020
bowtie2,limma,up,FBtr0089581
bowtie2,limma,up,FBtr0330617
bowtie2,limma,up,FBtr0088136
bowtie2,limma,up,FBtr0301143
bowtie2,limma,up,FBtr0305073
bowtie2,limma,up,FBtr0114544
bowtie2,limma,up,FBtr0089349
bowtie2,limma,up,FBtr0085155
bowtie2,limma,up,FBtr0073426
bowtie2,limma,up,FBtr0087258
bowtie2,limma,up,FBtr0333073
bowtie2,limma,up,FBtr0076454
bowtie2,limma,up,FBtr0088266
bowtie2,limma,up,FBtr0302291
bowtie2,limma,up,FBtr0347200
bowtie2,limma,up,FBtr0100575
bowtie2,limma,up,FBtr0346714
bowtie2,limma,up,FBtr0332202
bowtie2,limma,up,FBtr0304914
bowtie2,limma,up,FBtr0073422
bowtie2,limma,up,FBtr0304802
bowtie2,limma,up,FBtr0332963
bowtie2,limma,up,FBtr0306087
bowtie2,limma,up,FBtr0076364
bowtie2,limma,up,FBtr0310064
bowtie2,limma,up,FBtr0076453
bowtie2,limma,up,FBtr0081619
bowtie2,limma,up,FBtr0342607
bowtie2,limma,up,FBtr0086280
bowtie2,limma,up,FBtr0081614
bowtie2,limma,up,FBtr0304005
bowtie2,limma,up,FBtr0299564
bowtie2,limma,up,FBtr0074745
bowtie2,limma,up,FBtr0080592
bowtie2,limma,up,FBtr0299837
bowtie2,limma,up,FBtr0302034
bowtie2,limma,up,FBtr0078841
bowtie2,limma,up,FBtr0335180
bowtie2,limma,up,FBtr0072993
bowtie2,limma,up,FBtr0088052
bowtie2,limma,up,FBtr0112808
bowtie2,limma,up,FBtr0083467
bowtie2,limma,up,FBtr0076496
bowtie2,limma,up,FBtr0070392
bowtie2,limma,up,FBtr0089263
bowtie2,limma,up,FBtr0072635
bowtie2,limma,up,FBtr0112994
bowtie2,limma,up,FBtr0301850
bowtie2,limma,up,FBtr0301492
bowtie2,limma,up,FBtr0079199
bowtie2,limma,up,FBtr0112807
bowtie2,limma,up,FBtr0078136
bowtie2,limma,up,FBtr0113323
bowtie2,limma,up,FBtr0307092
bowtie2,limma,up,FBtr0289940
bowtie2,limma,up,FBtr0339629
bowtie2,limma,up,FBtr0340135
bowtie2,limma,up,FBtr0071849
bowtie2,limma,up,FBtr0087090
bowtie2,limma,up,FBtr0087820
bowtie2,limma,up,FBtr0310673
bowtie2,limma,up,FBtr0070241
bowtie2,limma,down,FBtr0073421
bowtie2,limma,down,FBtr0089348
bowtie2,limma,down,FBtr0300190
bowtie2,limma,down,FBtr0334328
bowtie2,limma,down,FBtr0308065
bowtie2,limma,down,FBtr0084549
bowtie2,limma,down,FBtr0089877
bowtie2,limma,down,FBtr0073269
bowtie2,limma,down,FBtr0077409
bowtie2,limma,down,FBtr0072393
bowtie2,limma,down,FBtr0302695
bowtie2,limma,down,FBtr0342811
bowtie2,limma,down,FBtr0077645
bowtie2,limma,down,FBtr0301403
bowtie2,limma,down,FBtr0070985
bowtie2,limma,down,FBtr0290019
bowtie2,limma,down,FBtr0083967
bowtie2,limma,down,FBtr0075753
bowtie2,limma,down,FBtr0072864
bowtie2,limma,down,FBtr0077234
bowtie2,limma,down,FBtr0078191
bowtie2,limma,down,FBtr0076459
bowtie2,limma,down,FBtr0072956
bowtie2,limma,down,FBtr0113470
bowtie2,limma,down,FBtr0080261
bowtie2,limma,down,FBtr0290076
bowtie2,limma,down,FBtr0073339
bowtie2,limma,down,FBtr0074337
bowtie2,limma,down,FBtr0070393
bowtie2,limma,down,FBtr0075811
bowtie2,limma,down,FBtr0299968
bowtie2,limma,down,FBtr0089484
bowtie2,limma,down,FBtr0330118
bowtie2,limma,down,FBtr0100457
bowtie2,limma,down,FBtr0302694
bowtie2,limma,down,FBtr0080565
bowtie2,limma,down,FBtr0087390
bowtie2,limma,down,FBtr0084659
bowtie2,limma,down,FBtr0078144
bowtie2,limma,down,FBtr0333662
bowtie2,limma,down,FBtr0085423
bowtie2,limma,down,FBtr0071934
bowtie2,limma,down,FBtr0073423
bowtie2,limma,down,FBtr0334867
bowtie2,limma,down,FBtr0089963
bowtie2,limma,down,FBtr0072087
bowtie2,limma,down,FBtr0332500
bowtie2,limma,down,FBtr0332503
bowtie2,limma,down,FBtr0332260
bowtie2,limma,down,FBtr0089361
bowtie2,limma,down,FBtr0309828
bowtie2,limma,down,FBtr0071835
bowtie2,limma,down,FBtr0078083
bowtie2,limma,down,FBtr0087295
bowtie2,limma,down,FBtr0302938
bowtie2,limma,down,FBtr0081484
bowtie2,limma,down,FBtr0303756
bowtie2,limma,down,FBtr0300599
bowtie2,limma,down,FBtr0302896
bowtie2,limma,down,FBtr0336736
bowtie2,limma,down,FBtr0088996
bowtie2,limma,down,FBtr0307520
bowtie2,limma,down,FBtr0304621
bowtie2,limma,down,FBtr0345142
bowtie2,limma,down,FBtr0340289
bowtie2,limma,down,FBtr0290077
bowtie2,limma,down,FBtr0079708
bowtie2,limma,down,FBtr0332203
bowtie2,limma,down,FBtr0087789
bowtie2,limma,down,FBtr0339407
bowtie2,limma,down,FBtr0080838
bowtie2,limma,down,FBtr0085755
bowtie2,limma,down,FBtr0086670
bowtie2,limma,down,FBtr0079077
bowtie2,limma,down,FBtr0303787
bowtie2,limma,down,FBtr0334282
bowtie2,limma,down,FBtr0306107
bowtie2,limma,down,FBtr0330159
bowtie2,limma,down,FBtr0071240
bowtie2,limma,down,FBtr0332042
bowtie2,limma,down,FBtr0087115
bowtie2,limma,down,FBtr0072561
bowtie2,limma,down,FBtr0332930
bowtie2,limma,down,FBtr0343424
bowtie2,limma,down,FBtr0336759
bowtie2,limma,down,FBtr0310647
bowtie2,limma,down,FBtr0110971
bowtie2,limma,down,FBtr0075204
bowtie2,limma,down,FBtr0335024
bowtie2,limma,down,FBtr0302645
bowtie2,limma,down,FBtr0112851
bowtie2,limma,down,FBtr0304933
bowtie2,limma,down,FBtr0085377
bowtie2,limma,down,FBtr0111028
bowtie2,limma,down,FBtr0085094
bowtie2,limma,down,FBtr0087621
bowtie2,limma,down,FBtr0082183
bowtie2,limma,down,FBtr0088370
bowtie2,limma,down,FBtr0080932
bowtie2,limma,down,FBtr0075560
bowtie2,limma,down,FBtr0072967
bowtie2,limma,down,FBtr0085209
bowtie2,limma,down,FBtr0111030
bowtie2,limma,down,FBtr0085156
bowtie2,limma,down,FBtr0087004
bowtie2,limma,down,FBtr0301915
bowtie2,limma,down,FBtr0079667
bowtie2,limma,down,FBtr0113011
bowtie2,limma,down,FBtr0085735
bowtie2,limma,down,FBtr0303387
bowtie2,limma,down,FBtr0331952
