,Align,DE,Direction,ID
1,Sailfish,Limma,down,FBtr0073421
2,Sailfish,Limma,down,FBtr0342811
3,Sailfish,Limma,down,FBtr0077645
4,Sailfish,Limma,down,FBtr0089348
5,Sailfish,Limma,down,FBtr0084549
6,Sailfish,Limma,down,FBtr0302694
7,Sailfish,Limma,down,FBtr0087533
8,Sailfish,Limma,down,FBtr0308065
9,Sailfish,Limma,down,FBtr0072956
10,Sailfish,Limma,down,FBtr0072393
11,Sailfish,Limma,down,FBtr0334328
12,Sailfish,Limma,down,FBtr0290019
13,Sailfish,Limma,down,FBtr0073269
14,Sailfish,Limma,down,FBtr0075753
15,Sailfish,Limma,down,FBtr0070985
16,Sailfish,Limma,down,FBtr0083967
17,Sailfish,Limma,down,FBtr0074276
18,Sailfish,Limma,down,FBtr0300190
19,Sailfish,Limma,down,FBtr0306255
20,Sailfish,Limma,down,FBtr0113470
21,Sailfish,Limma,down,FBtr0299968
22,Sailfish,Limma,down,FBtr0075811
23,Sailfish,Limma,down,FBtr0330118
24,Sailfish,Limma,down,FBtr0070393
25,Sailfish,Limma,down,FBtr0071934
26,Sailfish,Limma,down,FBtr0332500
27,Sailfish,Limma,down,FBtr0332503
28,Sailfish,Limma,down,FBtr0078144
29,Sailfish,Limma,down,FBtr0071835
30,Sailfish,Limma,down,FBtr0332260
31,Sailfish,Limma,down,FBtr0087390
32,Sailfish,Limma,down,FBtr0077234
33,Sailfish,Limma,down,FBtr0089963
34,Sailfish,Limma,down,FBtr0089877
35,Sailfish,Limma,down,FBtr0089361
36,Sailfish,Limma,down,FBtr0078191
37,Sailfish,Limma,down,FBtr0080565
38,Sailfish,Limma,down,FBtr0087789
39,Sailfish,Limma,down,FBtr0087295
40,Sailfish,Limma,down,FBtr0072561
41,Sailfish,Limma,down,FBtr0100457
42,Sailfish,Limma,down,FBtr0085755
43,Sailfish,Limma,down,FBtr0334867
44,Sailfish,Limma,down,FBtr0302896
45,Sailfish,Limma,down,FBtr0333662
46,Sailfish,Limma,down,FBtr0079708
47,Sailfish,Limma,down,FBtr0301403
48,Sailfish,Limma,down,FBtr0345142
49,Sailfish,Limma,down,FBtr0332042
50,Sailfish,Limma,down,FBtr0112851
51,Sailfish,Limma,down,FBtr0076459
