Align,DE,Dir,GeneName
sailfish,limma,down,FBtr0073421
sailfish,limma,down,FBtr0342811
sailfish,limma,down,FBtr0077645
sailfish,limma,down,FBtr0089348
sailfish,limma,down,FBtr0084549
sailfish,limma,down,FBtr0302694
sailfish,limma,down,FBtr0087533
sailfish,limma,down,FBtr0308065
sailfish,limma,down,FBtr0072956
sailfish,limma,down,FBtr0072393
sailfish,limma,down,FBtr0334328
sailfish,limma,down,FBtr0290019
sailfish,limma,down,FBtr0073269
sailfish,limma,down,FBtr0075753
sailfish,limma,down,FBtr0070985
sailfish,limma,down,FBtr0083967
sailfish,limma,down,FBtr0074276
sailfish,limma,down,FBtr0300190
sailfish,limma,down,FBtr0306255
sailfish,limma,down,FBtr0113470
sailfish,limma,down,FBtr0299968
sailfish,limma,down,FBtr0075811
sailfish,limma,down,FBtr0330118
sailfish,limma,down,FBtr0070393
sailfish,limma,down,FBtr0071934
sailfish,limma,down,FBtr0332500
sailfish,limma,down,FBtr0332503
sailfish,limma,down,FBtr0078144
sailfish,limma,down,FBtr0071835
sailfish,limma,down,FBtr0332260
sailfish,limma,down,FBtr0087390
sailfish,limma,down,FBtr0077234
sailfish,limma,down,FBtr0089963
sailfish,limma,down,FBtr0089877
sailfish,limma,down,FBtr0089361
sailfish,limma,down,FBtr0078191
sailfish,limma,down,FBtr0080565
sailfish,limma,down,FBtr0087789
sailfish,limma,down,FBtr0087295
sailfish,limma,down,FBtr0072561
sailfish,limma,down,FBtr0100457
sailfish,limma,down,FBtr0085755
sailfish,limma,down,FBtr0334867
sailfish,limma,down,FBtr0302896
sailfish,limma,down,FBtr0333662
sailfish,limma,down,FBtr0079708
sailfish,limma,down,FBtr0301403
sailfish,limma,down,FBtr0345142
sailfish,limma,down,FBtr0332042
sailfish,limma,down,FBtr0112851
sailfish,limma,down,FBtr0076459
sailfish,limma,down,FBtr0082183
sailfish,limma,down,FBtr0290076
sailfish,limma,down,FBtr0307520
sailfish,limma,down,FBtr0309828
sailfish,limma,down,FBtr0343633
sailfish,limma,down,FBtr0085423
sailfish,limma,down,FBtr0086670
sailfish,limma,down,FBtr0332930
sailfish,limma,down,FBtr0303749
sailfish,limma,down,FBtr0300599
sailfish,limma,down,FBtr0075077
sailfish,limma,down,FBtr0332046
sailfish,limma,down,FBtr0079077
sailfish,limma,down,FBtr0075927
sailfish,limma,down,FBtr0089359
sailfish,limma,down,FBtr0075204
sailfish,limma,down,FBtr0085094
sailfish,limma,down,FBtr0334282
sailfish,limma,down,FBtr0071240
sailfish,limma,down,FBtr0089484
