Align,DE,Dir,GeneName,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0085105,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0073120,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0339391,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0086613,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0304990,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0337020,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0083467,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0073974,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0084465,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0305263,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0333326,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0080171,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0076545,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0082992,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0300272,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0083552,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0082522,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0084911,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0342890,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0332167,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0075699,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0273275,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0302977,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0081257,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0344288,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0080839,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0333059,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0340135,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0087820,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0333659,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0331844,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0072635,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0076453,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0334147,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0078069,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0078841,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0088399,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0089486,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0089487,,,,,,,,,
