Align,DE,Dir,GeneName
kallisto,edgeR,up,FBtr0073120
kallisto,edgeR,up,FBtr0337020
kallisto,edgeR,up,FBtr0300272
kallisto,edgeR,up,FBtr0087859
kallisto,edgeR,up,FBtr0332167
kallisto,edgeR,up,FBtr0075699
kallisto,edgeR,up,FBtr0302977
kallisto,edgeR,up,FBtr0080839
kallisto,edgeR,up,FBtr0340135
kallisto,edgeR,up,FBtr0073359
kallisto,edgeR,up,FBtr0077920
kallisto,edgeR,up,FBtr0072635
kallisto,edgeR,up,FBtr0075199
kallisto,edgeR,up,FBtr0078841
kallisto,edgeR,up,FBtr0075942
kallisto,edgeR,up,FBtr0087617
kallisto,edgeR,up,FBtr0077008
kallisto,edgeR,up,FBtr0306254
kallisto,edgeR,up,FBtr0302291
kallisto,edgeR,up,FBtr0305917
kallisto,edgeR,up,FBtr0310643
kallisto,edgeR,up,FBtr0081614
kallisto,edgeR,up,FBtr0301838
kallisto,edgeR,up,FBtr0301837
kallisto,edgeR,up,FBtr0087258
kallisto,edgeR,up,FBtr0076427
kallisto,edgeR,up,FBtr0346711
kallisto,edgeR,up,FBtr0308232
kallisto,edgeR,up,FBtr0335423
kallisto,edgeR,up,FBtr0335180
kallisto,edgeR,up,FBtr0088663
kallisto,edgeR,up,FBtr0071537
kallisto,edgeR,up,FBtr0081635
kallisto,edgeR,up,FBtr0332963
kallisto,edgeR,up,FBtr0303709
kallisto,edgeR,up,FBtr0076454
kallisto,edgeR,up,FBtr0333071
kallisto,edgeR,up,FBtr0075541
kallisto,edgeR,up,FBtr0083122
kallisto,edgeR,up,FBtr0331507
kallisto,edgeR,up,FBtr0302833
kallisto,edgeR,up,FBtr0088266
kallisto,edgeR,up,FBtr0308834
kallisto,edgeR,up,FBtr0088659
kallisto,edgeR,up,FBtr0079199
kallisto,edgeR,up,FBtr0331662
kallisto,edgeR,up,FBtr0073426
kallisto,edgeR,up,FBtr0071849
kallisto,edgeR,up,FBtr0077644
kallisto,edgeR,up,FBtr0089581
kallisto,edgeR,up,FBtr0301884
kallisto,edgeR,up,FBtr0072957
kallisto,edgeR,up,FBtr0299837
kallisto,edgeR,up,FBtr0086774
kallisto,edgeR,up,FBtr0072642
kallisto,edgeR,up,FBtr0088136
kallisto,edgeR,up,FBtr0343571
kallisto,edgeR,up,FBtr0342810
kallisto,edgeR,up,FBtr0340405
kallisto,edgeR,up,FBtr0076772
kallisto,edgeR,up,FBtr0305063
kallisto,edgeR,up,FBtr0301850
kallisto,edgeR,up,FBtr0090014
kallisto,edgeR,up,FBtr0082760
kallisto,edgeR,up,FBtr0347567
kallisto,edgeR,up,FBtr0076808
kallisto,edgeR,up,FBtr0332911
kallisto,edgeR,up,FBtr0302188
kallisto,edgeR,up,FBtr0304802
kallisto,edgeR,up,FBtr0085155
kallisto,edgeR,up,FBtr0342607
kallisto,edgeR,up,FBtr0113380
kallisto,edgeR,up,FBtr0112888
kallisto,edgeR,up,FBtr0100575
kallisto,edgeR,up,FBtr0077247
kallisto,edgeR,up,FBtr0332202
kallisto,edgeR,up,FBtr0301708
