Align,DE,Dir,GeneName
kallisto,DESeq2,up,FBtr0085105
kallisto,DESeq2,up,FBtr0305911
kallisto,DESeq2,up,FBtr0071902
kallisto,DESeq2,up,FBtr0086613
kallisto,DESeq2,up,FBtr0346714
kallisto,DESeq2,up,FBtr0337020
kallisto,DESeq2,up,FBtr0083467
kallisto,DESeq2,up,FBtr0073974
kallisto,DESeq2,up,FBtr0084465
kallisto,DESeq2,up,FBtr0333326
kallisto,DESeq2,up,FBtr0076545
kallisto,DESeq2,up,FBtr0300272
kallisto,DESeq2,up,FBtr0344118
kallisto,DESeq2,up,FBtr0332167
kallisto,DESeq2,up,FBtr0075699
kallisto,DESeq2,up,FBtr0273275
kallisto,DESeq2,up,FBtr0302977
kallisto,DESeq2,up,FBtr0074800
kallisto,DESeq2,up,FBtr0345108
kallisto,DESeq2,up,FBtr0080839
kallisto,DESeq2,up,FBtr0340135
kallisto,DESeq2,up,FBtr0087820
kallisto,DESeq2,up,FBtr0310658
kallisto,DESeq2,up,FBtr0072635
kallisto,DESeq2,up,FBtr0309504
kallisto,DESeq2,up,FBtr0078069
kallisto,DESeq2,up,FBtr0078841
kallisto,DESeq2,up,FBtr0301824
kallisto,DESeq2,up,FBtr0273423
kallisto,DESeq2,up,FBtr0087617
kallisto,DESeq2,up,FBtr0084282
kallisto,DESeq2,up,FBtr0070724
kallisto,DESeq2,up,FBtr0070458
kallisto,DESeq2,up,FBtr0334883
kallisto,DESeq2,up,FBtr0073839
kallisto,DESeq2,up,FBtr0302291
kallisto,DESeq2,up,FBtr0310643
kallisto,DESeq2,up,FBtr0081614
kallisto,DESeq2,up,FBtr0087258
kallisto,DESeq2,up,FBtr0310064
kallisto,DESeq2,up,FBtr0089263
kallisto,DESeq2,up,FBtr0334322
kallisto,DESeq2,up,FBtr0304914
kallisto,DESeq2,up,FBtr0333545
kallisto,DESeq2,up,FBtr0072102
kallisto,DESeq2,up,FBtr0335180
kallisto,DESeq2,up,FBtr0088663
kallisto,DESeq2,up,FBtr0070392
kallisto,DESeq2,up,FBtr0339428
kallisto,DESeq2,up,FBtr0071537
kallisto,DESeq2,up,FBtr0072712
kallisto,DESeq2,up,FBtr0082889
kallisto,DESeq2,up,FBtr0334924
kallisto,DESeq2,up,FBtr0332963
kallisto,DESeq2,up,FBtr0303709
kallisto,DESeq2,up,FBtr0076454
kallisto,DESeq2,up,FBtr0310266
kallisto,DESeq2,up,FBtr0304794
kallisto,DESeq2,up,FBtr0333071
kallisto,DESeq2,up,FBtr0075541
kallisto,DESeq2,up,FBtr0100470
kallisto,DESeq2,up,FBtr0083122
kallisto,DESeq2,up,FBtr0340347
kallisto,DESeq2,up,FBtr0073619
kallisto,DESeq2,up,FBtr0302833
kallisto,DESeq2,up,FBtr0088266
kallisto,DESeq2,up,FBtr0308834
kallisto,DESeq2,up,FBtr0112735
kallisto,DESeq2,up,FBtr0079199
kallisto,DESeq2,up,FBtr0331663
kallisto,DESeq2,up,FBtr0073426
kallisto,DESeq2,up,FBtr0071849
kallisto,DESeq2,up,FBtr0077644
kallisto,DESeq2,up,FBtr0089581
kallisto,DESeq2,up,FBtr0330651
kallisto,DESeq2,up,FBtr0336667
kallisto,DESeq2,up,FBtr0301884
kallisto,DESeq2,up,FBtr0339563
kallisto,DESeq2,up,FBtr0072957
kallisto,DESeq2,up,FBtr0089091
kallisto,DESeq2,up,FBtr0299837
kallisto,DESeq2,up,FBtr0472696
kallisto,DESeq2,up,FBtr0086280
kallisto,DESeq2,up,FBtr0308823
kallisto,DESeq2,up,FBtr0072642
kallisto,DESeq2,up,FBtr0088136
kallisto,DESeq2,up,FBtr0342810
kallisto,DESeq2,up,FBtr0340405
kallisto,DESeq2,up,FBtr0081992
kallisto,DESeq2,up,FBtr0346627
kallisto,DESeq2,up,FBtr0076772
kallisto,DESeq2,up,FBtr0305063
kallisto,DESeq2,up,FBtr0334846
kallisto,DESeq2,up,FBtr0075558
kallisto,DESeq2,up,FBtr0299564
kallisto,DESeq2,up,FBtr0335475
kallisto,DESeq2,up,FBtr0301850
kallisto,DESeq2,up,FBtr0347567
kallisto,DESeq2,up,FBtr0302355
kallisto,DESeq2,up,FBtr0110876
kallisto,DESeq2,up,FBtr0332911
kallisto,DESeq2,up,FBtr0086506
kallisto,DESeq2,up,FBtr0077349
kallisto,DESeq2,up,FBtr0100298
kallisto,DESeq2,up,FBtr0304802
kallisto,DESeq2,up,FBtr0088052
kallisto,DESeq2,up,FBtr0085155
kallisto,DESeq2,up,FBtr0301492
kallisto,DESeq2,up,FBtr0342607
kallisto,DESeq2,up,FBtr0113380
kallisto,DESeq2,up,FBtr0345429
kallisto,DESeq2,up,FBtr0083904
kallisto,DESeq2,up,FBtr0100575
kallisto,DESeq2,up,FBtr0302034
kallisto,DESeq2,up,FBtr0077247
kallisto,DESeq2,up,FBtr0076935
kallisto,DESeq2,up,FBtr0089716
kallisto,DESeq2,up,FBtr0080886
kallisto,DESeq2,up,FBtr0310669
kallisto,DESeq2,up,FBtr0302561
kallisto,DESeq2,up,FBtr0332202
kallisto,DESeq2,up,FBtr0330306
kallisto,DESeq2,up,FBtr0301708
kallisto,DESeq2,up,FBtr0332403
kallisto,DESeq2,up,FBtr0303385
kallisto,DESeq2,up,FBtr0302548
kallisto,DESeq2,up,FBtr0345070
kallisto,DESeq2,up,FBtr0336676
kallisto,DESeq2,up,FBtr0078136
kallisto,DESeq2,up,FBtr0087493
kallisto,DESeq2,up,FBtr0305073
kallisto,DESeq2,up,FBtr0290078
kallisto,DESeq2,up,FBtr0086555
kallisto,DESeq2,up,FBtr0087147
kallisto,DESeq2,up,FBtr0330225
kallisto,DESeq2,up,FBtr0332478
kallisto,DESeq2,up,FBtr0080892
kallisto,DESeq2,up,FBtr0085987
kallisto,DESeq2,up,FBtr0302712
kallisto,DESeq2,up,FBtr0071004
kallisto,DESeq2,up,FBtr0334404
kallisto,DESeq2,up,FBtr0334405
kallisto,DESeq2,up,FBtr0304005
kallisto,DESeq2,up,FBtr0333073
kallisto,DESeq2,up,FBtr0333972
kallisto,DESeq2,up,FBtr0089516
kallisto,DESeq2,up,FBtr0306239
kallisto,DESeq2,up,FBtr0081619
kallisto,DESeq2,up,FBtr0085001
