transcript_id	gene_id	length	effective_length	expected_count	TPM	FPKM	IsoPct
FBgn0013687	FBgn0013687	4608	4566.57	0.00	0.00	0.00	0.00
FBtr0005088	FBtr0005088	2411	2369.57	9678.70	298.88	192.11	100.00
FBtr0006151	FBtr0006151	2080	2038.57	0.00	0.00	0.00	0.00
FBtr0070000	FBtr0070000	3537	3495.57	0.00	0.00	0.00	0.00
FBtr0070002	FBtr0070002	1226	1184.57	4.00	0.25	0.16	100.00
FBtr0070003	FBtr0070003	1164	1122.57	47.00	3.06	1.97	100.00
FBtr0070006	FBtr0070006	1667	1625.57	234.00	10.53	6.77	100.00
FBtr0070007	FBtr0070007	1131	1089.57	848.00	56.95	36.60	100.00
FBtr0070008	FBtr0070008	1094	1052.57	351.59	24.44	15.71	100.00
FBtr0070025	FBtr0070025	1244	1202.57	2060.60	125.38	80.59	100.00
FBtr0070026	FBtr0070026	1883	1841.57	541.00	21.50	13.82	100.00
FBtr0070027	FBtr0070027	2221	2179.57	703.11	23.61	15.17	100.00
FBtr0070028	FBtr0070028	2635	2593.57	175.91	4.96	3.19	100.00
FBtr0070029	FBtr0070029	1164	1122.57	0.00	0.00	0.00	0.00
FBtr0070032	FBtr0070032	981	939.57	7.00	0.55	0.35	100.00
FBtr0070034	FBtr0070034	4359	4317.57	1.08	0.02	0.01	100.00
FBtr0070035	FBtr0070035	1129	1087.57	3.00	0.20	0.13	100.00
FBtr0070036	FBtr0070036	611	569.57	1978.77	254.22	163.40	100.00
FBtr0070038	FBtr0070038	3000	2958.57	4039.05	99.90	64.21	100.00
FBtr0070040	FBtr0070040	439	397.57	66.51	12.24	7.87	100.00
FBtr0070041	FBtr0070041	379	337.57	1306.39	283.18	182.01	100.00
FBtr0070042	FBtr0070042	1536	1494.57	383.11	18.76	12.06	100.00
FBtr0070043	FBtr0070043	1561	1519.57	0.00	0.00	0.00	100.00
FBtr0070044	FBtr0070044	1423	1381.57	1079.54	57.18	36.75	100.00
FBtr0070045	FBtr0070045	2227	2185.57	510.00	17.08	10.97	100.00
FBtr0070046	FBtr0070046	2844	2802.57	598.00	15.61	10.04	100.00
FBtr0070050	FBtr0070050	2191	2149.57	0.00	0.00	0.00	100.00
FBtr0070051	FBtr0070051	2034	1992.57	0.00	0.00	0.00	0.00
FBtr0070052	FBtr0070052	1059	1017.57	1942.20	139.66	89.77	100.00
FBtr0070053	FBtr0070053	2418	2376.57	0.00	0.00	0.00	0.00
FBtr0070054	FBtr0070054	2034	1992.57	0.00	0.00	0.00	0.00
FBtr0070055	FBtr0070055	1060	1018.57	3.10	0.22	0.14	100.00
FBtr0070056	FBtr0070056	1838	1796.57	15.18	0.62	0.40	100.00
FBtr0070057	FBtr0070057	1995	1953.57	3.82	0.14	0.09	100.00
FBtr0070058	FBtr0070058	3132	3090.57	5573.08	131.95	84.81	100.00
FBtr0070059	FBtr0070059	3252	3210.57	113.06	2.58	1.66	100.00
FBtr0070060	FBtr0070060	3228	3186.57	155.54	3.57	2.30	100.00
FBtr0070061	FBtr0070061	3264	3222.57	249.06	5.66	3.63	100.00
FBtr0070062	FBtr0070062	3129	3087.57	301.26	7.14	4.59	100.00
FBtr0070063	FBtr0070063	6538	6496.57	816.39	9.20	5.91	100.00
FBtr0070064	FBtr0070064	2054	2012.57	561.00	20.40	13.11	100.00
FBtr0070065	FBtr0070065	2110	2068.57	0.00	0.00	0.00	100.00
FBtr0070066	FBtr0070066	3352	3310.57	7.97	0.18	0.11	100.00
FBtr0070067	FBtr0070067	3376	3334.57	0.00	0.00	0.00	100.00
FBtr0070068	FBtr0070068	3402	3360.57	0.00	0.00	0.00	100.00
FBtr0070069	FBtr0070069	1055	1013.57	0.00	0.00	0.00	0.00
FBtr0070070	FBtr0070070	1188	1146.57	220.00	14.04	9.02	100.00
FBtr0070071	FBtr0070071	2038	1996.57	612.00	22.43	14.42	100.00
FBtr0070072	FBtr0070072	917	875.57	0.00	0.00	0.00	0.00
FBtr0070073	FBtr0070073	1438	1396.57	0.00	0.00	0.00	0.00
FBtr0070074	FBtr0070074	1097	1055.57	0.00	0.00	0.00	0.00
FBtr0070075	FBtr0070075	2430	2388.57	1.00	0.03	0.02	100.00
FBtr0070076	FBtr0070076	743	701.57	0.00	0.00	0.00	0.00
FBtr0070077	FBtr0070077	532	490.57	2.65	0.40	0.25	100.00
FBtr0070078	FBtr0070078	517	475.57	82.98	12.77	8.21	100.00
FBtr0070079	FBtr0070079	2345	2303.57	139.00	4.42	2.84	100.00
FBtr0070080	FBtr0070080	1119	1077.57	0.21	0.01	0.01	100.00
FBtr0070081	FBtr0070081	5890	5848.57	0.00	0.00	0.00	100.00
