transcript_id	RNAi_1	RNAi_3	RNAi_4	Untreated_1	Untreated_3	Untreated_4
FBgn0013687	0	0	0	0	0	0
FBtr0005088	9678.7	3882.13	4049.32	9894.1	3552.39	3744
FBtr0006151	0	0	0	0	0	0
FBtr0070000	0	1.61	8	12.9	6.62	10
FBtr0070002	4	0	0	2	0	0
FBtr0070003	47	24	27	42	13	12
FBtr0070006	234	0	0	263.18	128.63	0
FBtr0070007	848	305	385	961	320	311
FBtr0070008	351.59	140	202.1	335.74	125	136
FBtr0070025	2060.6	915.25	1006.92	2154.96	1091.81	994.43
FBtr0070026	541	269	350	590	262	251
FBtr0070027	703.11	251.08	284.84	559.96	247.08	242
FBtr0070028	175.91	5.77	14.96	127.88	21.84	29.97
FBtr0070029	0	0	0	0	0	0
FBtr0070032	7	4	2	8	2	2
FBtr0070034	1.08	0	1	0.91	0	0
FBtr0070035	3	0	1	0	1	0
FBtr0070036	1978.77	826.98	1229.53	1963.75	805	914.98
FBtr0070038	4039.05	809.19	895.35	3137.44	940.54	815.03
FBtr0070040	66.51	24.98	33.22	21.01	29.39	6.86
FBtr0070041	1306.39	264.64	351.49	1524.99	275.66	328.09
FBtr0070042	383.11	32.41	98.32	706.78	121.63	0
FBtr0070043	0	7.13	0	64.55	0	17.35
FBtr0070044	1079.54	347.42	338.1	599.36	311.27	394.8
FBtr0070045	510	63	59.4	162.51	40.2	58.01
FBtr0070046	598	78	104	417	105	102
FBtr0070050	0	9	0	0	0	4.7
FBtr0070051	0	0	0	0	4.5	0
FBtr0070052	1942.2	642.66	1276.71	1882.4	546.63	820.88
FBtr0070053	0	0	0	17.16	0	0
FBtr0070054	0	0	0	0	4.5	0
FBtr0070055	3.1	1.06	1.24	7.69	0.57	1.14
FBtr0070056	15.18	0	7	13.84	0	3.3
FBtr0070057	3.82	0	0	0	0	0
FBtr0070058	5573.08	2795.2	3778.83	8111.74	3118.74	2998.79
FBtr0070059	113.06	75.8	65.26	303.91	40.63	53.81
FBtr0070060	155.54	0	60.66	178.02	20.79	0
FBtr0070061	249.06	0	16.56	239.99	51.38	18.22
FBtr0070062	301.26	0	57.69	58.35	65.45	170.19
FBtr0070063	816.39	255.29	386.83	1055.06	369.96	316.51
FBtr0070064	561	154.44	226	574	150	172
FBtr0070065	0	34.56	0	0	0	0
FBtr0070066	7.97	4	2	8	1	1
FBtr0070067	0	0	0	0	0	0
FBtr0070068	0	0	0	0	0	0
FBtr0070069	0	0	0	0	0	1
FBtr0070070	220	53	67	120	43	40
FBtr0070071	612	154	213	439	105	145
FBtr0070072	0	0	0	1	0	0
FBtr0070073	0	0	0	0	0	0
FBtr0070074	0	0	0	0	0	0
FBtr0070075	1	0	0	0	0	0
FBtr0070076	0	0	0	0	0	0
FBtr0070077	2.65	7.81	5.56	5.76	0	1.72
FBtr0070078	82.98	27.5	37.93	79.74	21.09	15.5
FBtr0070079	139	60	61	127	52	44
FBtr0070080	0.21	5	2	3	5	0
FBtr0070081	0	0	0	0	0	0
FBtr0070084	0	0	0	0	0	0
FBtr0070085	460.01	238.72	294.2	660.79	204.55	190.11
FBtr0070086	0	0	0	9.64	4.71	0
FBtr0070087	0	0	0	2.66	1.55	0
FBtr0070088	244.02	107.65	186.21	289.7	100.25	92.82
FBtr0070089	184.75	118.4	67.79	238.97	56.98	77.82
FBtr0070090	27.38	27.6	27.61	97.3	13.33	10.17
FBtr0070091	212.18	92.82	123.38	232.06	93.69	62.8
FBtr0070092	2013.68	926.32	1256.71	3010.34	1061.25	1248.86
FBtr0070093	68.32	41.68	23.29	109.66	34.75	45.14
FBtr0070094	579.63	203.38	268.99	613.91	226.43	211.71
FBtr0070095	0	0	0	0	0	0
FBtr0070097	59.6	17.9	21.14	38.68	10.63	9.21
FBtr0070098	807.57	358.71	505.98	1134.12	425	322.16
FBtr0070099	0	1	0	0	0	0
FBtr0070100	0	0	0	0	0	0
FBtr0070101	0	0	0	0	0	0
FBtr0070102	14	0	0	0	0	0
FBtr0070103	8.82	1	3.6	0	2	0
FBtr0070106	16.41	7.5	0	8.2	7.46	22.54
FBtr0070107	0	0	21.71	0	0	0
FBtr0070108	193.63	50.27	38.35	90.79	35.13	38
FBtr0070109	0	3.14	0	15.39	0	0.09
FBtr0070110	2	1	0	0	1	1
FBtr0070115	539	211	289	607	232	223
FBtr0070116	108.92	70.24	15.86	37.51	29.54	58.07
FBtr0070117	0	0	0	0	0	0
FBtr0070118	78.08	1.76	84.14	147.49	49.46	23.93
FBtr0070119	571	209	241	620	195	192
FBtr0070120	884.75	191.92	232.06	1357.45	348.17	232.54
FBtr0070121	319	138.56	180.59	467	160	187
FBtr0070122	929.64	310.81	443.27	844.96	249.7	292.85
FBtr0070123	151.14	26.37	67.26	94.88	33.75	37.09
FBtr0070124	0	0	0	0	0	3.5
FBtr0070125	469.12	243.53	172.17	696.11	184.27	146.71
FBtr0070126	1205.25	274.98	332.22	967.44	242.64	350.45
FBtr0070127	114.59	53.38	64.38	186.25	30.22	56.59
FBtr0070128	75.12	32.48	15.9	168.12	8.13	14.25
FBtr0070129	17.65	0	0	20.33	0	0
FBtr0070130	0	0	0	0	0	0
FBtr0070131	441.64	277.42	295.14	619.15	371.32	169.12
FBtr0070132	0.18	0	0	39.26	0	119.17
FBtr0070133	0	0	0	0	0	20.45
FBtr0070134	525	195	326	605	241	256
FBtr0070135	272.9	126.15	207.78	236.26	70.48	91.35
FBtr0070136	250.3	60.34	101.56	347.07	148.52	31.86
FBtr0070137	65.8	65.51	18.65	47.68	0	50.79
FBtr0070138	7.8	4	4	11	3	3
FBtr0070139	0	0	0	1	0	0
FBtr0070140	604.37	276.25	427.59	689.99	336.15	289.82
FBtr0070141	734.68	357.39	550.1	1104.27	321	321.73
FBtr0070142	0	0	0	2	0	0
FBtr0070145	22	9	4	32	5	11
FBtr0070146	1275	486	650	1475	547	477
FBtr0070147	7	1	2	3	2	1
FBtr0070148	17560	7190	9018	23426	8944	9295
FBtr0070149	6	0	3	3	2	1
FBtr0070150	4.37	2.03	3	6.48	1.01	1.05
FBtr0070151	1253.06	362.41	458.44	1257.29	495.19	380.63
FBtr0070155	2660.52	1303.68	2125.57	3733.98	1416.81	1696.24
FBtr0070156	1069.66	565.88	788.72	757.49	512.67	779.36
FBtr0070157	187.78	115.44	120.07	153.9	61.15	116.16
FBtr0070158	69.58	29.97	35.23	54.28	9.44	29.24
FBtr0070159	606	173	227	723	168	189
FBtr0070160	150	66	74	143	58	52
FBtr0070161	135.02	0	0	44.71	0	0
FBtr0070163	2	0	1	1	0	3
FBtr0070164	0	0	0	0	0	0
FBtr0070165	226.88	68	86	243	62	71
FBtr0070167	201.09	52.58	84.31	161.38	68.26	54.82
FBtr0070168	461.62	319.41	517.95	640.79	343.99	363.73
FBtr0070169	48.04	48.14	42.15	112.54	53.37	82.25
FBtr0070170	153.05	55.91	66.81	139.89	84.96	52.4
FBtr0070171	0	0	0	0	0	0
FBtr0070172	0	0	0	0	0	0
FBtr0070173	310	109	172	299	124	95
FBtr0070174	5.49	6	7	26.36	1.72	4
FBtr0070175	53.87	21	28	81.64	26.95	29
FBtr0070176	653.18	319.86	447.53	841.44	470.59	393.82
FBtr0070177	0	25.33	0	240.8	0	0
FBtr0070178	423.27	128.51	144.52	493.68	165.98	170.31
FBtr0070179	3808	1782	2594	7594	3008	3426
FBtr0070180	7	2	1	1	1	2
FBtr0070181	54.4	9.59	28.37	120.8	38.77	24.17
FBtr0070182	366	152	213	499	227	222
FBtr0070183	31.91	10	11	48.52	21	21
FBtr0070184	0	0	0	1	0	0
FBtr0070185	0	0	0	1.08	0	0
FBtr0070186	1	0	0	1	0	0
FBtr0070187	97.95	35.09	45.19	93.11	34.04	26.6
FBtr0070188	375.59	170.99	234	485.75	173.97	140
