Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	335.813	0.000000	0.000
FBtr0300738	2350	2176.433	0.185196	3.099
FBtr0300739	2172	1998.433	0.182299	2.801
FBtr0300737	2184	2010.433	0.228896	3.538
FBtr0300736	2338	2164.433	0.151950	2.529
FBtr0078628	2467	2293.433	0.136237	2.402
FBtr0300740	2479	2305.433	0.163444	2.897
FBtr0078627	2301	2127.433	0.159414	2.608
FBtr0300741	2313	2139.433	0.195482	3.216
FBtr0072762	889	715.624	75.693426	416.473
FBtr0346821	1270	1096.433	5.144402	43.367
FBtr0331460	900	726.622	0.331204	1.850
FBtr0303848	5005	4831.433	9.516727	353.515
FBtr0086122	1465	1291.433	0.604276	6.000
FBtr0335147	3125	2951.433	2.517922	57.137
FBtr0081459	3019	2845.433	19.634063	429.539
FBtr0305321	6523	6349.433	1.436474	70.126
FBtr0083716	5665	5491.433	20.271247	855.874
FBtr0078184	1305	1131.433	0.459819	4.000
FBtr0081691	765	591.688	0.108291	0.493
FBtr0085263	1228	1054.433	0.123349	1.000
FBtr0086342	492	318.821	0.000000	0.000
FBtr0086343	495	321.819	0.000000	0.000
FBtr0091847	1023	849.433	1.021183	6.669
FBtr0072393	1393	1219.433	13.630659	127.796
FBtr0343502	867	693.629	0.882998	4.709
FBtr0343753	3569	3395.433	4.007283	104.614
FBtr0433525	3725	3551.433	0.252942	6.907
FBtr0113895	961	787.603	28.403675	171.999
FBtr0345179	887	713.624	58.687260	322.001
FBtr0334135	4703	4529.433	0.290559	10.119
FBtr0334137	4561	4387.433	0.443050	14.945
FBtr0334141	5321	5147.433	0.206174	8.160
FBtr0334139	4203	4029.433	0.460030	14.252
FBtr0334140	5704	5530.433	0.193884	8.244
FBtr0344148	4894	4720.433	0.264639	9.605
FBtr0334142	5071	4897.433	0.228202	8.593
FBtr0334138	5563	5389.433	0.183414	7.600
FBtr0334136	3862	3688.433	1.251807	35.500
FBtr0085105	995	821.562	11.081892	70.000
FBtr0346720	2745	2571.433	0.000000	0.000
FBtr0076089	442	268.853	0.000000	0.000
FBtr0087500	1417	1243.433	12.865858	123.000
FBtr0073094	1694	1520.433	6.573175	76.840
FBtr0073093	1577	1403.433	72.486987	782.160
FBtr0343515	1092	918.433	0.234684	1.657
FBtr0072451	975	801.588	9.142044	56.343
FBtr0071607	2252	2078.433	2.815999	45.000
FBtr0081516	4704	4530.433	0.114836	4.000
FBtr0300749	931	757.617	0.687451	4.004
FBtr0346532	1185	1011.433	0.580563	4.515
FBtr0073076	880	706.625	67.455648	366.481
FBtr0089289	4677	4503.433	3.396442	117.601
FBtr0100448	4590	4416.433	1.564146	53.112
FBtr0089290	4681	4507.433	1.337825	46.363
FBtr0089288	4037	3863.433	7.617937	226.284
FBtr0100447	4417	4243.433	1.394694	45.503
FBtr0329933	4663	4489.433	1.299049	44.840
FBtr0336949	2826	2652.433	21.590207	440.296
FBtr0088786	1378	1204.433	75.293460	697.243
FBtr0088785	1869	1695.433	19.150851	249.639
FBtr0303077	607	433.775	0.000000	0.000
FBtr0339716	615	441.771	0.079920	0.271
FBtr0085459	600	426.778	79.154141	259.729
FBtr0070973	1218	1044.433	0.622652	5.000
