Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	249.872	0	0
FBgn0267873	257	83.992	0	0
FBgn0267896	719	545.707	0.002016	0.008
FBgn0260225	1197	1023.43	0	0
FBgn0040928	1085	911.433	2.99675	21
FBgn0262789	532	358.799	0.362498	1
FBgn0058461	391	217.908	0.82098	1.375
FBgn0042701	620	446.766	0.756833	2.6
FBgn0263493	352	178.932	0.000521	0.001
FBgn0265917	359	185.929	0	0
FBgn0262163	610	436.774	0	0
FBgn0085831	237	64.015	0	0
FBgn0267108	321	147.945	12.8386	14.604
FBgn0051032	770	596.687	12.4246	57
FBgn0266102	391	217.908	2.9754	4.985
FBgn0053867	526	352.802	0.020111	0.055
FBgn0267026	323	149.945	0	0
FBgn0267519	2689	2515.43	2391.32	46248.2
FBgn0058005	1227	1053.43	0.196584	1.592
FBgn0039979	803	629.669	8.20311	39.713
FBgn0053318	523	349.804	1.17468	3.159
FBgn0053805	440	266.855	0.851259	1.747
FBgn0267419	780	606.683	0	0
FBgn0267892	760	586.691	0	0
FBgn0267902	582	408.783	0.000275	0.001
FBgn0262964	777	603.684	0.8618	4
FBgn0085790	1041	867.433	0.202708	1.352
FBgn0267879	601	427.778	0.000576	0.002
FBgn0085291	1130	956.433	0.251656	1.851
FBgn0263093	1186.67	1013.11	34.4552	268.382
FBgn0267952	1290	1116.43	0	0
FBgn0030117	636	462.74	0.035287	0.126
FBgn0058182	291	117.964	0	0
FBgn0052518	75	25.756	5.0499	1
FBgn0027934	1345	1171.43	0	0
FBgn0085340	423	249.872	0	0
FBgn0263744	845	671.64	0.193651	1
FBgn0263210	221	48.173	5.25643	1.947
FBtr0346869	123	48.969	18.8587	7.1
FBgn0267427	697	523.717	0	0
FBgn0263975	1131	957.433	2.71692	20
FBgn0267869	420	246.874	0.00065	0.001
FBgn0037560	966.295	792.887	46.7509	285
FBgn0263212	220	47.212	0	0
FBgn0085732	1475.6	1302.04	68.9393	690.135
FBgn0267593	610	436.774	0	0
FBgn0058100	394	220.904	7.61532	12.934
FBgn0264888	465	291.843	0	0
FBgn0037143	1446	1272.43	0	0
FBgn0262510	501	327.816	2.12484	5.356
FBgn0263771	276	102.974	0	0
FBgn0053315	421	247.873	0.524719	1
FBgn0050029	480	306.839	0	0
FBgn0085791	1041	867.433	0.165617	1.105
FBgn0085804	252	78.996	0	0
FBgn0267876	766	592.687	0	0
FBgn0267494	656	482.728	0	0
FBgn0085792	1211	1037.43	3.21017	25.605
FBgn0053013	2636	2462.43	0	0
FBgn0266211	1668	1494.43	1.91471	22
