Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	308.585	0.000000	0.000
FBtr0300738	2350	2149.567	0.099942	4.569
FBtr0300739	2172	1971.567	0.141100	5.916
FBtr0300737	2184	1983.567	0.137214	5.788
FBtr0300736	2338	2137.567	0.101910	4.633
FBtr0078628	2467	2266.567	0.087349	4.210
FBtr0300740	2479	2278.567	0.085944	4.165
FBtr0078627	2301	2100.567	0.113419	5.067
FBtr0300741	2313	2112.567	0.110988	4.986
FBtr0072762	889	688.567	67.451877	987.721
FBtr0346821	1270	1069.567	4.699234	106.888
FBtr0331460	900	699.567	4.107791	61.113
FBtr0303848	5005	4804.567	8.009542	818.382
FBtr0086122	1465	1264.567	0.669324	18.000
FBtr0335147	3125	2924.567	0.987407	61.412
FBtr0081459	3019	2818.567	21.267876	1274.814
FBtr0305321	6523	6322.567	0.730459	98.216
FBtr0083716	5665	5464.567	19.462608	2261.784
FBtr0078184	1305	1104.567	0.469316	11.024
FBtr0081691	765	564.567	0.000000	0.000
FBtr0085263	1228	1027.567	0.137283	3.000
FBtr0086342	492	291.607	0.150040	0.930
FBtr0086343	495	294.601	0.011100	0.070
FBtr0091847	1023	822.567	1.241538	21.718
FBtr0072393	1393	1192.567	10.501881	266.345
FBtr0343502	867	666.567	3.395909	48.139
FBtr0343753	3569	3368.567	2.034544	145.749
FBtr0433525	3725	3524.567	0.412561	30.923
FBtr0113895	961	760.567	4.594697	74.317
FBtr0345179	887	686.567	172.841723	2523.629
FBtr0334135	4703	4502.567	0.180926	17.324
FBtr0334137	4561	4360.567	0.397959	36.904
FBtr0334141	5321	5120.567	0.117999	12.850
FBtr0334139	4203	4002.567	0.321920	27.402
FBtr0334140	5704	5503.567	0.092983	10.883
FBtr0344148	4894	4693.567	0.157083	15.679
FBtr0334142	5071	4870.567	0.130853	13.554
FBtr0334138	5563	5362.567	0.088211	10.060
FBtr0334136	3862	3661.567	1.290632	100.499
FBtr0085105	995	794.567	11.007491	186.000
FBtr0346720	2745	2544.567	0.018480	1.000
FBtr0076089	442	241.890	0.388792	2.000
FBtr0087500	1417	1216.567	13.528132	350.000
FBtr0073094	1694	1493.567	19.374794	615.398
FBtr0073093	1577	1376.567	51.225300	1499.602
FBtr0343515	1092	891.567	0.087939	1.667
FBtr0072451	975	774.567	16.836349	277.333
FBtr0071607	2252	2051.567	2.246188	98.000
FBtr0081516	4704	4503.567	0.313235	30.000
FBtr0300749	931	730.567	0.113577	1.765
FBtr0346532	1185	984.567	0.514282	10.768
FBtr0073076	880	679.567	77.461350	1119.467
FBtr0089289	4677	4476.567	2.746287	261.448
FBtr0100448	4590	4389.567	2.309802	215.621
FBtr0089290	4681	4480.567	2.938800	280.025
FBtr0089288	4037	3836.567	16.710393	1363.401
FBtr0100447	4417	4216.567	2.240598	200.917
FBtr0329933	4663	4462.567	2.596327	246.399
FBtr0336949	2826	2625.567	2.465663	137.674
FBtr0088786	1378	1177.567	22.553837	564.807
FBtr0088785	1869	1668.567	68.852414	2443.189
FBtr0303077	607	406.567	0.462630	4.000
FBtr0339716	615	414.567	1.766325	15.573
FBtr0085459	600	399.567	107.848593	916.427
FBtr0070973	1218	1017.567	0.924215	20.000
FBtr0089252	2767	2566.567	1.336441	72.945
FBtr0334488	2840	2639.567	1.946288	109.253
FBtr0334489	2902	2701.567	1.379263	79.242
FBtr0100600	3804	3603.567	5.293321	405.653
FBtr0300305	309	122.205	0.000000	0.000
FBtr0077162	567	366.567	0.256556	2.000
FBtr0072277	713	512.567	55.410532	604.000
FBtr0344898	1082	881.567	0.000022	0.000
FBtr0086817	1175	974.567	0.000022	0.000
FBtr0333271	5146	4945.567	0.653126	68.692
FBtr0072639	5149	4948.567	0.801563	84.355
FBtr0340000	824	623.567	2.378261	31.538
FBtr0087390	427	227.128	124.727854	602.460
FBtr0070472	3021	2820.567	1.993983	119.606
FBtr0331752	4499	4298.567	19.026067	1739.270
FBtr0070475	3174	2973.567	6.797689	429.866
FBtr0070474	3218	3017.567	0.599640	38.481
FBtr0302185	2166	1965.567	1.276207	53.346
FBtr0070471	4805	4604.567	7.119137	697.125
FBtr0112828	2903	2702.567	3.093922	177.820
FBtr0301966	3182	2981.567	2.029215	128.667
FBtr0070468	3055	2854.567	9.579819	581.556
FBtr0070476	2745	2544.567	0.216464	11.714
FBtr0070470	3110	2909.567	1.211585	74.968
FBtr0331751	4750	4549.567	0.380117	36.777
FBtr0070469	4244	4043.567	26.146505	2248.395
FBtr0070467	2929	2728.567	0.132183	7.670
FBtr0331753	5004	4803.567	2.032718	207.652
FBtr0070466	2847	2646.567	1.471951	82.846
FBtr0070473	3091	2890.567	0.821992	50.529
FBtr0076265	1575	1374.567	67.014943	1958.988
FBtr0331935	1030	829.567	0.274684	4.846
FBtr0088237	816	615.567	85.032689	1113.154
FBtr0081705	1363	1162.567	0.000000	0.000
FBtr0088524	1299	1098.567	72.166704	1686.000
FBtr0074540	843	642.567	24.880921	340.000
FBtr0074494	1357	1156.567	0.447227	11.000
FBtr0085714	3349	3148.567	41.862182	2803.038
FBtr0085713	3440	3239.567	853.910786	58829.305
FBtr0076256	334	141.695	2.986721	9.000
FBtr0339552	1718	1517.567	23.595708	761.509
FBtr0078950	1533	1332.567	18.507798	524.491
FBtr0070990	1321	1120.567	1.623626	38.692
FBtr0100409	805	604.567	0.120834	1.554
FBtr0343330	706	505.567	91.973047	988.856
FBtr0304902	1617	1416.567	0.066389	2.000
FBtr0304901	2286	2085.567	0.022547	1.000
FBtr0078872	1228	1027.567	0.183044	4.000
FBtr0077839	2112	1911.567	2.798228	113.754
FBtr0077837	2331	2130.567	6.565224	297.467
FBtr0077838	2235	2034.567	1.381604	59.779
FBtr0077836	2325	2124.567	28.861096	1304.000
FBtr0075133	4018	3817.567	1.985378	161.185
FBtr0332862	2190	1989.567	1.915809	81.060
FBtr0087988	1754	1553.567	14.024780	463.362
FBtr0087987	1948	1747.567	378.956540	14083.722
FBtr0074688	1633	1432.567	31.182754	950.000
FBtr0086864	3503	3302.567	14.323597	1006.000
FBtr0083361	1283	1082.567	0.086872	2.000
FBtr0392904	4164	3963.567	32.044295	2701.041
FBtr0084588	2385	2184.567	67.073054	3116.073
FBtr0303161	2639	2438.567	22.783887	1181.563
FBtr0079257	1918	1717.567	15.440850	564.000
FBtr0307341	906	705.567	0.061270	0.919
FBtr0084989	527	326.574	0.030182	0.210
FBtr0306309	750	549.567	0.553037	6.464
FBtr0344570	539	338.571	1.880020	13.536
FBtr0078090	1219	1018.567	36.398325	788.434
FBtr0087439	546	345.569	39.733185	292.000
FBtr0070960	2096	1895.567	0.117216	4.725
FBtr0302357	2296	2095.567	0.082976	3.698
FBtr0302356	2428	2227.567	0.069939	3.313
FBtr0340571	3830	3629.567	0.012954	1.000
FBtr0340572	3825	3624.567	0.012975	1.000
FBtr0080267	3305	3104.567	0.000000	0.000
FBtr0077141	787	586.567	0.000000	0.000
FBtr0306593	981	780.567	0.000000	0.000
FBtr0081719	1938	1737.567	74.475368	2752.000
FBtr0071549	1655	1454.567	26.702513	826.000
FBtr0308832	1068	867.567	13.278741	244.993
FBtr0308833	2043	1842.567	26.581803	1041.602
FBtr0074921	2263	2062.567	16.788587	736.405
FBtr0073011	1996	1795.567	0.130941	5.000
FBtr0112378	450	249.804	0.376475	2.000
FBtr0342602	1596	1395.567	0.205368	6.095
FBtr0080326	1217	1016.567	85.876264	1856.536
FBtr0085405	675	474.567	193.315104	1951.000
FBtr0339295	331	139.251	0.000000	0.000
FBtr0300316	205	64.371	0.000000	0.000
FBtr0300904	2130	1929.567	0.009649	0.396
FBtr0081633	2196	1995.567	0.039016	1.656
FBtr0300905	2052	1851.567	0.000390	0.015
FBtr0335279	1234	1033.567	0.399552	8.782
FBtr0335281	1199	998.567	0.930847	19.767
FBtr0290216	733	532.567	0.003143	0.036
FBtr0335280	740	539.567	0.003156	0.036
FBtr0077120	1711	1510.567	12.991634	417.348
FBtr0081676	887	686.567	0.000000	0.000
FBtr0076639	2093	1892.567	0.238489	9.599
FBtr0079280	1148	947.567	0.049624	1.000
FBtr0304827	5797	5596.567	0.038164	4.542
FBtr0433494	6405	6204.567	0.093203	12.298
FBtr0333832	6581	6380.567	0.074320	10.085
FBtr0433497	5654	5453.567	0.046600	5.405
FBtr0333833	6118	5917.567	0.041784	5.258
FBtr0433496	5848	5647.567	0.034549	4.149
FBtr0304826	8410	8209.567	0.090957	15.880
FBtr0433495	8302	8101.567	0.094689	16.314
FBtr0433493	8251	8050.567	0.103383	17.700
FBtr0300808	2019	1818.567	0.000000	0.000
FBtr0300809	4061	3860.567	0.006120	0.502
FBtr0301700	4064	3863.567	0.006115	0.502
FBtr0072287	5108	4907.567	29.864706	3116.871
FBtr0343633	2816	2615.567	3.768680	209.628
FBtr0074281	2640	2439.567	64.033222	3322.097
FBtr0343632	2730	2529.567	2.859021	153.800
FBtr0074279	3898	3697.567	57.708258	4537.831
FBtr0074280	3895	3694.567	4.971253	390.592
FBtr0072238	1035	834.567	0.000000	0.000
FBtr0308073	1317	1116.567	1.193247	28.334
FBtr0082360	764	563.567	94.139400	1128.265
FBtr0082361	1024	823.567	2.420948	42.401
