gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
FBgn0013687	FBgn0013687	4608.00	4436.72	0.00	0.00	0.00
FBtr0005088	FBtr0005088	2411.00	2239.72	3744.00	241.29	201.26
FBtr0006151	FBtr0006151	2080.00	1908.72	0.00	0.00	0.00
FBtr0070000	FBtr0070000	3537.00	3365.72	10.00	0.43	0.36
FBtr0070002	FBtr0070002	1226.00	1054.72	0.00	0.00	0.00
FBtr0070003	FBtr0070003	1164.00	992.72	12.00	1.74	1.46
FBtr0070006	FBtr0070006	1667.00	1495.72	0.00	0.00	0.00
FBtr0070007	FBtr0070007	1131.00	959.72	311.00	46.78	39.02
FBtr0070008	FBtr0070008	1094.00	922.72	136.00	21.27	17.75
FBtr0070025	FBtr0070025	1244.00	1072.72	994.43	133.81	111.61
FBtr0070026	FBtr0070026	1883.00	1711.72	251.00	21.17	17.65
FBtr0070027	FBtr0070027	2221.00	2049.72	242.00	17.04	14.21
FBtr0070028	FBtr0070028	2635.00	2463.72	29.97	1.76	1.46
FBtr0070029	FBtr0070029	1164.00	992.72	0.00	0.00	0.00
FBtr0070032	FBtr0070032	981.00	809.72	2.00	0.36	0.30
FBtr0070034	FBtr0070034	4359.00	4187.72	0.00	0.00	0.00
FBtr0070035	FBtr0070035	1129.00	957.72	0.00	0.00	0.00
FBtr0070036	FBtr0070036	611.00	439.74	914.98	300.34	250.52
FBtr0070038	FBtr0070038	3000.00	2828.72	815.03	41.59	34.69
FBtr0070040	FBtr0070040	439.00	267.76	6.86	3.70	3.09
FBtr0070041	FBtr0070041	379.00	207.77	328.09	227.93	190.12
FBtr0070042	FBtr0070042	1536.00	1364.72	0.00	0.00	0.00
FBtr0070043	FBtr0070043	1561.00	1389.72	17.35	1.80	1.50
FBtr0070044	FBtr0070044	1423.00	1251.72	394.80	45.53	37.98
FBtr0070045	FBtr0070045	2227.00	2055.72	58.01	4.07	3.40
FBtr0070046	FBtr0070046	2844.00	2672.72	102.00	5.51	4.59
FBtr0070050	FBtr0070050	2191.00	2019.72	4.70	0.34	0.28
FBtr0070051	FBtr0070051	2034.00	1862.72	0.00	0.00	0.00
