Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	241.785	0	0
FBgn0267873	257	75.909	0	0
FBgn0267896	719	537.64	0.000253	0.001
FBgn0260225	1197	1015.34	0.029862	0.268
FBgn0040928	1085	903.336	3.63541	29
FBgn0262789	532	350.705	0.645793	2
FBgn0058461	391	209.825	0.643078	1.192
FBgn0042701	620	438.685	0.301756	1.169
FBgn0263493	352	170.847	0.000212	0
FBgn0265917	359	177.844	0	0
FBgn0262163	610	428.69	0.264157	1
FBgn0085831	237	56	0	0
FBgn0267108	321	139.859	0.000538	0.001
FBgn0051032	770	588.618	13.467	70
FBgn0266102	391	209.825	2.28277	4.23
FBgn0053867	526	344.708	0.016137	0.049
FBgn0267026	323	141.858	0.000128	0
FBgn0267519	2689	2507.34	1853.11	41030.6
FBgn0058005	1227	1045.34	0.100382	0.927
FBgn0039979	803	621.6	7.77599	42.684
FBgn0053318	523	341.71	0.331396	1
FBgn0053805	440	258.768	0.003962	0.009
FBgn0267419	780	598.612	0	0
FBgn0267892	760	578.62	0.00026	0.001
FBgn0267902	582	400.695	0	0
FBgn0262964	777	595.613	0.190126	1
FBgn0085790	1041	859.336	0.486052	3.688
FBgn0267879	601	419.693	0	0
FBgn0085291	1130	948.336	0.081197	0.68
FBgn0263093	1194.62	1012.95	29.7634	266.236
FBgn0267952	1290	1108.34	0	0
FBgn0030117	636	454.664	0.067875	0.273
FBgn0058182	291	109.875	0	0
FBgn0052518	75	25.876	0	0
FBgn0027934	1345	1163.34	0	0
FBgn0085340	423	241.785	0	0
FBgn0263744	845	663.581	0	0
FBgn0263210	221	41.389	0	0
FBtr0346869	123	50.2	2.66182	1.18
FBgn0267427	697	515.645	0	0
FBgn0263975	1131	949.336	2.50498	21
FBgn0267869	420	238.788	0.000321	0.001
FBgn0037560	964.074	782.574	46.1605	319
FBgn0263212	220	40.574	0	0
FBgn0085732	1474.53	1292.86	80.6247	920.482
FBgn0267593	610	428.69	0	0
FBgn0058100	394	212.822	5.171	9.718
FBgn0264888	465	283.751	0	0
FBgn0037143	1446	1264.34	0.089566	1
FBgn0262510	501	319.722	1.71714	4.848
FBgn0263771	276	94.892	0	0
FBgn0053315	421	239.787	0	0
FBgn0050029	480	298.75	0	0
FBgn0085791	1041	859.336	0.036012	0.273
FBgn0085804	252	70.916	0	0
FBgn0267876	766	584.619	0.00026	0.001
FBgn0267494	656	474.653	0	0
FBgn0085792	1211	1029.34	1.42815	12.982
FBgn0053013	2636	2454.34	0	0
FBgn0266211	1668	1486.34	1.75233	23
FBgn0265141	1303	1121.34	0	0
FBgn0051292	440.612	259.383	0.018743	0.043
FBgn0053294	1989.75	1808.08	2.69312	43
FBgn0000280	166	13.218	0	0
FBgn0262885	102	39.581	0	0
FBgn0011812	456	274.756	0	0
FBgn0265533	384.5	203.317	0	0
FBgn0052496	778	596.613	1.73514	9.142
FBgn0052009	2998.19	2816.53	0.817146	20.324
FBtr0347033	1076	894.336	0	0
FBgn0262688	493	311.726	0	0
FBgn0053222	541.068	359.77	3.18072	10.106
FBgn0266940	581	399.696	0	0
FBgn0262565	802	620.6	0.182471	1
FBgn0263002	361	179.844	0	0
FBgn0084049	531	349.705	15.9573	49.278
FBgn0263211	352	170.847	0.000931	0.001
FBgn0267872	775	593.614	0.000261	0.001
FBgn0262031	330	148.854	39.8835	52.426
FBgn0267014	274	92.894	7.49986	6.152
FBgn0039987	184	16.574	0	0
FBgn0261640	810	628.597	0.61939	3.438
FBgn0052761	71	23.991	0	0
FBgn0267863	274	92.894	0	0
FBgn0052034	74	25.364	0	0
FBgn0262795	735	553.632	0	0
FBgn0261856	450	268.759	0.007022	0.017
FBgn0051485	73	24.874	0	0
FBgn0267610	864	682.551	0	0
FBgn0262851	1188	1006.34	9.185	81.624
FBgn0053416	143	54.803	0	0
FBgn0267520	357	175.845	1.6029	2.489
FBgn0085765	30	10.934	0	0
FBgn0267424	659	477.653	0	0
FBgn0030116	1305	1123.34	0	0
FBgn0031135	363	181.843	0	0
FBgn0263213	224	43.91	0	0
FBgn0267878	266	84.901	0	0
FBgn0058441	177	13.589	0	0
FBgn0267864	485	303.734	0.00015	0
FBgn0085500	687	505.651	0	0
FBgn0085784	479	297.74	0.003542	0.009
FBgn0262848	1188	1006.34	9.24314	82.141
FBgn0063924	307	125.864	1.52342	1.693
FBgn0262616	554	372.7	0	0
FBgn0267891	718	536.64	0.00051	0.002
FBgn0053491	369	187.841	0.002317	0.004
FBgn0050374	600	418.693	1.62278	6
FBtr0347034	740	558.626	0	0
FBgn0267898	414	232.794	0.000301	0.001
FBgn0260469	919.053	737.587	0.556871	3.627
FBgn0267874	253	71.915	0	0
FBgn0030243	4715.1	4533.44	34.696	1389
FBgn0032269	1866.98	1685.31	0.067193	1
FBgn0266369	2930	2748.34	20.6018	500
FBgn0032596	776.497	595.111	186.861	982
FBgn0033770	673	491.655	0	0
FBgn0259237	2786	2604.34	0	0
FBgn0013685	525	343.709	1.97681	6
FBgn0031021	768	586.619	59.2635	307
FBgn0033491	3329	3147.34	6.02916	167.57
FBgn0051141	961	779.5	0	0
FBgn0284082	778	596.613	0	0
FBgn0036396	1352	1170.34	8.46886	87.525
FBgn0036641	882.806	701.345	39.074	242
FBgn0027594	4471.84	4290.17	133.113	5043
FBgn0261954	7820.47	7638.8	48.1185	3245.88
FBgn0029987	639	457.663	0.989737	4
FBgn0031660	1138.35	956.689	151.511	1280
FBgn0038619	938.052	756.579	20.2062	135
FBgn0001341	3680	3498.34	8.22199	254
FBgn0037541	7050.09	6868.43	27.786	1685.3
FBgn0016701	1149.02	967.428	61.8045	528
FBgn0039110	1769.52	1587.85	67.1808	942
FBgn0038839	2837.5	2655.84	0	0
FBgn0264307	3337.68	3156.01	9.39293	261.78
FBgn0263355	3558.12	3376.45	38.9619	1161.7
FBgn0032482	2176.61	1994.95	155.591	2741
FBgn0050082	843	661.582	0	0
FBgn0033698	5896	5714.34	20.1143	1015
FBgn0032240	530	348.705	141.857	436.822
FBgn0029925	1070	888.336	25.2402	198
FBgn0039017	1757	1575.34	7.97912	111
FBgn0259711	908	726.537	12.625	81
FBgn0051140	5736.34	5554.68	7.60423	373.001
FBgn0036813	1221	1039.34	49.03	450
FBgn0004379	2915.55	2733.89	24.8528	600
FBgn0036158	782	600.61	0	0
FBgn0031816	1999.3	1817.63	12.6472	203
FBgn0034923	1674.67	1493.01	30.9847	408.512
