Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	223.213	0	0
FBgn0267873	257	88.66	0	0
FBgn0267896	719	518.567	0.049291	0.544
FBgn0260225	1197	996.567	0.015481	0.328
FBgn0040928	1085	884.567	6.27274	118
FBgn0262789	532	331.572	0.709084	5
FBgn0058461	391	192.4	0.901624	3.689
FBgn0042701	620	419.567	2.01048	17.939
FBgn0263493	352	156.898	47.8458	159.645
FBgn0265917	359	163.039	0	0
FBgn0262163	610	409.567	0.459241	4
FBgn0085831	237	78.309	0	0
FBgn0267108	321	131.306	26.7387	74.666
FBgn0051032	770	569.567	8.75119	106
FBgn0266102	391	192.4	5.36231	21.941
FBgn0053867	526	325.574	0.007227	0.05
FBgn0267026	323	132.87	2.6e-05	0
FBgn0267519	2689	2488.57	4422.72	234063
FBgn0058005	1227	1026.57	13.1465	287.006
FBgn0039979	803	602.567	10.2337	131.139
FBgn0053318	523	322.576	1.4629	10.036
FBgn0053805	440	239.915	0.441821	2.254
FBgn0267419	780	579.567	0	0
FBgn0267892	760	559.567	0.030582	0.364
FBgn0267902	582	381.567	0.125181	1.016
FBgn0262964	777	576.567	0.59616	7.31
FBgn0085790	1041	840.567	0.962521	17.206
FBgn0267879	601	400.567	0.000223	0.002
FBgn0085291	1130	929.567	0.08577	1.696
FBgn0263093	1182.92	982.484	35.1237	733.87
FBgn0267952	1290	1089.57	0	0
FBgn0030117	636	435.567	0.072738	0.674
FBgn0058182	291	109.49	0	0
FBgn0052518	75	27.086	10.4161	6
FBgn0027934	1345	1144.57	0	0
FBgn0085340	423	223.213	0	0
FBgn0263744	845	644.567	0.145904	2
FBgn0263210	221	70.964	20.16	30.424
FBtr0346869	123	39.106	52.8832	43.98
FBgn0267427	697	496.567	0	0
FBgn0263975	1131	930.567	4.19408	83
FBgn0267869	420	220.284	0.002432	0.011
FBgn0037560	970.487	770.054	92.5119	1515
FBgn0263212	220	70.53	0	0
FBgn0085732	1484.15	1283.72	126.928	3465.14
FBgn0267593	610	409.567	0	0
FBgn0058100	394	195.24	19.6425	81.557
FBgn0264888	465	264.696	0	0
FBgn0037143	1446	1245.57	0.151008	4
FBgn0262510	501	300.593	22.6722	144.933
FBgn0263771	276	99.785	0.471236	1
FBgn0053315	421	221.26	0.001254	0.006
