Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	249.856	0	0
FBgn0267873	257	83.977	0	0
FBgn0267896	719	545.695	0.002016	0.008
FBgn0260225	1197	1023.42	0	0
FBgn0040928	1085	911.425	2.99644	21
FBgn0262789	532	358.784	0.362473	1
FBgn0058461	391	217.891	0.820959	1.375
FBgn0042701	620	446.749	0.756778	2.6
FBgn0263493	352	178.916	0.00052	0.001
FBgn0265917	359	185.913	0	0
FBgn0262163	610	436.758	0	0
FBgn0085831	237	64.002	0	0
FBgn0267108	321	147.93	12.8398	14.605
FBgn0051032	770	596.676	12.4235	57
FBgn0266102	391	217.891	2.97577	4.986
FBgn0053867	526	352.788	0.020106	0.055
FBgn0267026	323	149.93	0	0
FBgn0267519	2689	2515.43	2390.99	46246.8
FBgn0058005	1227	1053.42	0.196576	1.592
FBgn0039979	803	629.654	8.20245	39.713
FBgn0053318	523	349.791	1.17459	3.159
FBgn0053805	440	266.842	0.851391	1.747
FBgn0267419	780	606.668	0	0
FBgn0267892	760	586.679	0	0
FBgn0267902	582	408.768	0.000275	0.001
FBgn0262964	777	603.673	0.861719	4
FBgn0085790	1041	867.425	0.202518	1.351
FBgn0267879	601	427.762	0.000576	0.002
FBgn0085291	1130	956.425	0.251631	1.851
FBgn0263093	1186.68	1013.1	34.457	268.425
FBgn0267952	1290	1116.42	0	0
FBgn0030117	636	462.724	0.035282	0.126
FBgn0058182	291	117.949	0	0
FBgn0052518	75	25.884	5.02438	1
FBgn0027934	1345	1171.42	0	0
FBgn0085340	423	249.856	0	0
FBgn0263744	845	671.628	0.193633	1
FBgn0263210	221	48.159	5.25892	1.947
FBtr0346869	123	48.654	18.9782	7.1
FBgn0267427	697	523.705	0	0
FBgn0263975	1131	957.425	2.71665	20
FBgn0267869	420	246.859	0.00065	0.001
FBgn0037560	966.288	792.863	46.7471	285
FBgn0263212	220	47.198	0	0
FBgn0085732	1475.6	1302.03	68.9324	690.139
FBgn0267593	610	436.758	0	0
FBgn0058100	394	220.888	7.61514	12.934
FBgn0264888	465	291.829	0	0
FBgn0037143	1446	1272.42	0	0
FBgn0262510	501	327.804	2.12473	5.356
FBgn0263771	276	102.959	0	0
FBgn0053315	421	247.858	0.524692	1
FBgn0050029	480	306.823	0	0
FBgn0085791	1041	867.425	0.165476	1.104
FBgn0085804	252	78.982	0	0
FBgn0267876	766	592.676	0	0
FBgn0267494	656	482.712	0	0
FBgn0085792	1211	1037.42	3.20999	25.607
FBgn0053013	2636	2462.43	0	0
FBgn0266211	1668	1494.42	1.9145	22
FBgn0265141	1303	1129.42	0	0
FBgn0051292	435.527	262.377	0.018918	0.038
FBgn0053294	1991.38	1817.8	1.43084	20
FBgn0000280	166	13.129	19.8114	2
FBgn0262885	102	39.896	0	0
FBgn0011812	456	282.833	0.45981	1
FBgn0265533	384.5	211.388	0	0
FBgn0052496	778	604.672	1.62358	7.549
FBgn0052009	2997.49	2823.92	0.58169	12.63
FBtr0347033	1076	902.425	0	0
FBgn0262688	493	319.809	0.406646	1
FBgn0053222	544.032	370.813	0.097035	0.276
FBgn0266940	581	407.769	0	0
FBgn0262565	802	628.655	1.02803	4.969
FBgn0263002	361	187.912	0	0
FBgn0084049	531	357.784	19.6786	54.139
FBgn0263211	352	178.916	0.001278	0.002
FBgn0267872	775	601.675	0.001013	0.005
FBgn0262031	330	156.927	39.8195	48.049
FBgn0267014	274	100.962	14.4471	11.216
FBgn0039987	184	20.425	0	0
FBgn0261640	810	636.65	0.402367	1.97
FBgn0052761	71	24.155	0	0
FBgn0267863	274	100.962	0	0
FBgn0052034	74	25.384	0	0
FBgn0262795	735	561.689	0	0
FBgn0261856	450	276.836	0.93954	2
FBgn0051485	73	24.945	0	0
FBgn0267610	864	690.616	0	0
FBgn0262851	1188	1014.42	14.5549	113.533
FBgn0053416	143	43.755	26.7497	9
FBgn0267520	357	183.914	8.97377	12.691
FBgn0085765	30	9.815	13.25	1
FBgn0267424	659	485.711	0	0
FBgn0030116	1305	1131.42	0	0
FBgn0031135	363	189.911	0	0
FBgn0263213	224	51.08	4.63242	1.819
FBgn0267878	266	92.968	0	0
FBgn0058441	177	16.909	0	0
FBgn0267864	485	311.812	0.000201	0
FBgn0085500	687	513.705	0	0
FBgn0085784	479	305.817	0.003517	0.008
FBgn0262848	1188	1014.42	2.87219	22.404
FBgn0063924	307	133.937	2.4339	2.507
FBgn0262616	554	380.778	0	0
FBgn0267891	718	544.695	0.001327	0.006
FBgn0053491	369	195.908	0.003528	0.005
FBgn0050374	600	426.762	0.304735	1
FBtr0347034	740	566.686	0	0
FBgn0267898	414	240.865	0.000613	0.001
FBgn0260469	925.543	752.141	1.40806	8.144
FBgn0267874	253	79.981	0	0
FBgn0030243	4755.39	4581.82	39.797	1402.1
FBgn0032269	1867	1693.42	0	0
FBgn0266369	2930	2756.43	21.2784	451
FBgn0032596	776.103	602.777	193.528	897
FBgn0033770	665.983	492.701	0.263952	1
FBgn0259237	2786	2612.43	0	0
FBgn0013685	525	351.789	0.73936	2
FBgn0031021	768	594.676	63.9378	292.368
FBgn0033491	3329	3155.43	6.99779	169.79
FBgn0051141	961	787.582	0.165125	1
FBgn0284082	778	604.672	0	0
FBgn0036396	1352	1178.42	6.95259	63
FBgn0036641	883.663	710.271	36.8027	201
FBgn0027594	4478.53	4304.96	135.156	4474
FBgn0261954	7845.07	7671.5	53.5529	3159.04
FBgn0029987	639	465.723	1.67545	6
FBgn0031660	1139.32	965.744	144.089	1070
FBgn0038619	937.253	763.85	17.1958	101
FBgn0001341	3680	3506.43	9.71728	262
FBgn0037541	7052.36	6878.79	32.3948	1713.48
FBgn0016701	1175.62	1002.1	62.8117	484
FBgn0039110	1769.66	1596.08	68.1991	837
FBgn0038839	2837.12	2663.55	0.048825	1
FBgn0264307	3533.45	3359.88	8.31943	214.937
FBgn0263355	3529.95	3356.37	46.6714	1204.52
FBgn0032482	2178.93	2005.36	148.897	2295.99
FBgn0050082	843	669.629	0.582633	3
FBgn0033698	5896	5722.43	20.1582	887
FBgn0032240	530	356.784	147.457	404.541
FBgn0029925	1070	896.425	25.3882	175
FBgn0039017	1757	1583.42	8.08024	98.382
FBgn0259711	908	734.6	14.1627	80
FBgn0051140	5760.92	5587.34	7.54132	324
FBgn0036813	1221	1047.42	40.7248	328
FBgn0004379	2913.41	2739.84	26.3911	555.998
FBgn0036158	782	608.668	0	0
FBgn0031816	2035.11	1861.53	12.2956	176
FBgn0034923	1675.98	1502.4	26.1831	302.482
FBgn0039582	1151	977.425	0	0
FBgn0051635	6287.96	6114.39	10.4858	493
FBgn0263117	5200.06	5026.49	0.058971	2.279
FBgn0030259	717	543.696	0	0
FBgn0029858	1852.24	1678.67	14.1055	182.072
FBgn0260745	2909.84	2736.26	178.563	3757
FBgn0015791	1156.07	982.505	115.555	872.999
FBgn0051453	1554.4	1380.83	62.3485	662
FBgn0025574	2102.59	1929.01	23.7984	353
FBgn0039637	3175.45	3001.88	79.0205	1824
FBgn0023095	4739.94	4566.36	1.90815	67
FBgn0014022	1444	1270.42	19.0402	186
FBgn0035134	1243	1069.42	0.608034	5
FBgn0044826	3556.97	3383.4	72.3777	1883
FBgn0030937	1405	1231.42	0	0
FBgn0085213	715	541.698	0.240077	1
FBgn0039875	2455.51	2281.93	68.8206	1207.57
FBgn0037736	3928.94	3755.36	0.242413	7
FBgn0024732	2153	1979.42	20.8928	318
FBgn0053700	1116	942.425	0	0
FBgn0260747	999.176	825.723	239.396	1520
FBgn0038011	1767	1593.42	0	0
FBgn0066365	2784.15	2610.57	0.000164	0.003
FBgn0039863	5861.19	5687.61	37.6821	1648
FBgn0037721	832.031	658.666	1.77699	9
FBgn0036459	2408	2234.43	0	0
FBgn0038291	1731	1557.42	14.5295	174
FBgn0001114	3261.09	3087.52	1020.29	24223
FBgn0262894	324	150.929	0	0
FBgn0015772	4865.01	4691.44	14.1929	512.001
FBgn0030873	1721.56	1547.99	92.9133	1105.95
FBgn0086675	6911.1	6737.52	0.23125	11.981
FBgn0038223	4302.63	4129.05	11.0913	352.148
FBgn0027081	2320.48	2146.91	217.586	3592
FBgn0043458	3245.13	3071.55	62.7796	1482.75
FBgn0262010	471	297.826	0	0
FBgn0259963	337	163.923	0	0
FBgn0010238	2156	1982.42	107.323	1636
FBgn0034184	2949.74	2776.17	33.5409	716
FBgn0000018	1794	1620.42	22.873	285
FBgn0032809	910	736.6	1.05932	6
FBgn0036605	513	339.8	0	0
FBgn0052280	1136.32	962.741	36.3284	268.935
FBgn0000055	1118.32	944.742	0.177915	1.293
FBgn0033657	3918	3744.43	0.069463	2
FBgn0035421	1684	1510.42	22.2141	258
FBgn0030666	1628.58	1455.01	1.16411	13.024
FBgn0011202	4199.05	4025.47	38.0248	1177
FBgn0050091	1681	1507.42	0	0
FBgn0033260	3372.74	3199.16	35.8948	883
FBgn0283427	8584.36	8410.78	949.58	61413
FBgn0033740	2222.1	2048.53	19.6166	309
FBgn0011725	2797.84	2624.26	28.0548	566.118
FBgn0034377	761	587.678	0.221293	1
FBgn0284248	680.991	507.698	791.518	3090
FBgn0040674	712.5	539.198	0	0
FBgn0036323	1637	1463.42	0	0
FBgn0038260	1973	1799.42	2.02364	28
FBgn0034617	1987	1813.42	13.9127	194
FBgn0262018	7550.68	7377.11	0.017629	1
FBgn0031873	840	666.631	25.3609	130
FBgn0032366	866	692.616	0	0
FBgn0035241	4682.89	4509.32	0.725425	25.153
FBgn0260049	2269.38	2095.81	169.464	2731
FBgn0015558	4413.67	4240.1	0.68054	22.189
FBgn0267875	162	12.808	0	0
FBgn0003870	4188.11	4014.54	32.6196	1006.95
FBgn0053061	1277.9	1104.33	0.117763	1
FBgn0041181	4928	4754.43	0	0
FBgn0039778	933	759.597	0.171208	1
FBgn0014455	1597.47	1423.9	253.339	2773.78
FBgn0030462	936.667	763.256	0	0
FBgn0051832	762	588.677	0.662753	3
FBgn0000259	1591.91	1418.4	119.533	1303.7
FBgn0261581	585.892	412.657	0.315151	1
FBgn0039271	836	662.636	10.7943	55
FBgn0031463	1194	1020.42	0	0
FBgn0014006	4626.81	4453.24	31.89	1092
FBgn0037150	1456	1282.42	11.5606	114
FBgn0030294	1628	1454.42	14.4854	162
FBgn0036039	1941.37	1767.79	15.4489	210
FBgn0029676	2020.4	1846.83	68.1534	967.845
FBgn0037475	1444.5	1270.92	0	0
FBgn0052076	1529	1355.42	29.9355	312
FBgn0058354	1400	1226.42	4.4152	41.637
FBgn0033738	3638.19	3464.61	42.6202	1135.43
FBgn0064126	1577.8	1404.22	44.6418	482.026
FBgn0039115	970	796.574	21.0212	128.758
FBgn0010356	2362	2188.43	19.3134	325
FBgn0051100	2432.78	2259.21	0.172692	3
FBgn0263249	318	144.931	0	0
FBgn0039635	1178.31	1004.8	186.117	1438
FBgn0050010	744.974	571.655	3.63994	16
FBgn0034495	1429	1255.42	17.8138	171.965
FBgn0005617	3827.44	3653.86	29.5772	831
FBgn0030703	1436.9	1263.32	111.898	1087
