Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	245.734	0	0
FBgn0267873	257	79.873	0	0
FBgn0267896	719	541.541	0.000307	0.001
FBgn0260225	1197	1019.14	0	0
FBgn0040928	1085	907.139	4.26177	26
FBgn0262789	532	354.643	0.83855	2
FBgn0058461	391	213.775	0.000915	0.001
FBgn0042701	620	442.599	0.006932	0.021
FBgn0263493	352	174.803	0.000766	0.001
FBgn0265917	359	181.8	0	0
FBgn0262163	610	432.607	0.687426	2
FBgn0085831	237	60.093	0	0
FBgn0267108	321	143.822	0.000929	0.001
FBgn0051032	770	592.523	13.0493	52
FBgn0266102	391	213.775	0.004175	0.006
FBgn0053867	526	348.649	0.986268	2.313
FBgn0267026	323	145.821	0	0
FBgn0267519	2689	2511.14	3551.31	59974.8
FBgn0058005	1227	1049.14	0.172766	1.219
FBgn0039979	803	625.5	7.01761	29.521
FBgn0053318	523	345.651	0	0
FBgn0053805	440	262.717	0.006366	0.011
FBgn0267419	780	602.519	0	0
FBgn0267892	760	582.525	0	0
FBgn0267902	582	404.62	0	0
FBgn0262964	777	599.52	0.49604	2
FBgn0085790	1041	863.139	0.332628	1.931
FBgn0267879	601	423.61	0	0
FBgn0085291	1130	952.139	0.144164	0.923
FBgn0263093	1195.89	1018.03	24.8835	170.366
FBgn0267952	1290	1112.14	0	0
FBgn0030117	636	458.58	0.088987	0.274
FBgn0058182	291	113.841	0	0
FBgn0052518	75	26.641	5.58136	1
FBgn0027934	1345	1167.14	0	0
FBgn0085340	423	245.734	0	0
FBgn0263744	845	667.466	0	0
FBgn0263210	221	45.561	0	0
FBtr0346869	123	58.462	3.10228	1.22
FBgn0267427	697	519.548	0	0
FBgn0263975	1131	953.139	3.58808	23
FBgn0267869	420	242.738	0.00022	0
FBgn0037560	956.769	779.178	47.8991	251
FBgn0263212	220	44.735	0	0
FBgn0085732	1478.87	1301.01	71.7707	627.969
FBgn0267593	610	432.607	0	0
FBgn0058100	394	216.77	7.59248	11.069
FBgn0264888	465	287.697	1.03368	2
FBgn0037143	1446	1268.14	0.234506	2
FBgn0262510	501	323.668	5.01754	10.922
FBgn0263771	276	98.854	0	0
FBgn0053315	421	243.737	0.610055	1
FBgn0050029	480	302.693	0	0
FBgn0085791	1041	863.139	0.037682	0.219
FBgn0085804	252	74.885	0	0
FBgn0267876	766	588.524	0	0
FBgn0267494	656	478.565	0	0
FBgn0085792	1211	1033.14	1.78436	12.398
FBgn0053013	2636	2458.14	0	0
FBgn0266211	1668	1490.14	1.2972	13
FBgn0265141	1303	1125.14	0	0
FBgn0051292	451.92	274.628	2.78353	5.141
FBgn0053294	1947.99	1770.13	2.85604	34
FBgn0000280	166	25.563	5.81662	1
FBgn0262885	102	43.73	0	0
FBgn0011812	456	278.704	0	0
FBgn0265533	403.316	226.069	0.000516	0.001
FBgn0052496	778	600.52	1.04969	4.239
FBgn0052009	3001.05	2823.19	1.3055	24.787
FBtr0347033	1076	898.139	0	0
FBgn0262688	493	315.674	0.471033	1
FBgn0053222	548.609	371.244	1.53806	3.84
FBgn0266940	581	403.62	0	0
FBgn0262565	802	624.501	0	0
FBgn0263002	361	183.799	0.808996	1
FBgn0084049	531	353.643	15.7659	37.497
FBgn0263211	352	174.803	0.000738	0.001
FBgn0267872	775	597.52	0	0
FBgn0262031	330	152.818	30.5204	31.367
FBgn0267014	274	96.856	6.18063	4.026
FBgn0039987	184	23.566	0	0
FBgn0261640	810	632.495	1.40788	5.989
FBgn0052761	71	24.275	0	0
FBgn0267863	274	96.856	0	0
