Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	338.418	0.000000	0.000
FBtr0300738	2350	2178.989	0.260848	4.755
FBtr0300739	2172	2000.989	0.409237	6.851
FBtr0300737	2184	2012.989	0.358856	6.043
FBtr0300736	2338	2166.989	0.287473	5.212
FBtr0078628	2467	2295.989	0.234809	4.510
FBtr0300740	2479	2307.989	0.216263	4.176
FBtr0078627	2301	2129.989	0.307575	5.481
FBtr0300741	2313	2141.989	0.277507	4.973
FBtr0072762	889	718.210	68.414749	411.068
FBtr0346821	1270	1098.989	3.791681	34.861
FBtr0331460	900	729.209	0.292938	1.787
FBtr0303848	5005	4833.989	5.046645	204.089
FBtr0086122	1465	1293.989	0.831381	9.000
FBtr0335147	3125	2953.989	2.337013	57.754
FBtr0081459	3019	2847.989	19.325199	460.442
FBtr0305321	6523	6351.989	0.474508	25.215
FBtr0083716	5665	5493.989	14.964164	687.785
FBtr0078184	1305	1133.989	0.316228	3.000
FBtr0081691	765	594.292	0.000000	0.000
FBtr0085263	1228	1056.989	0.339265	3.000
FBtr0086342	492	321.433	0.000000	0.000
FBtr0086343	495	324.429	0.000000	0.000
FBtr0091847	1023	851.989	1.342600	9.570
FBtr0072393	1393	1221.989	76.706408	784.171
FBtr0343502	867	696.218	0.443051	2.581
FBtr0343753	3569	3397.989	3.734352	106.157
FBtr0433525	3725	3553.989	0.254636	7.571
FBtr0113895	961	790.184	22.882336	151.266
FBtr0345179	887	716.210	49.190087	294.734
FBtr0334135	4703	4531.989	0.322366	12.222
FBtr0334137	4561	4389.989	0.751699	27.607
FBtr0334141	5321	5149.989	0.211149	9.097
FBtr0334139	4203	4031.989	0.571376	19.273
FBtr0334140	5704	5532.989	0.174391	8.072
FBtr0344148	4894	4722.989	0.276956	10.943
FBtr0334142	5071	4899.989	0.245161	10.050
FBtr0334138	5563	5391.989	0.186296	8.404
FBtr0334136	3862	3690.989	1.241371	38.332
FBtr0085105	995	824.136	4.206170	29.000
FBtr0346720	2745	2573.989	0.000000	0.000
FBtr0076089	442	271.454	0.000000	0.000
FBtr0087500	1417	1245.989	8.730017	91.000
FBtr0073094	1694	1522.989	5.935706	75.628
FBtr0073093	1577	1405.989	75.441761	887.372
FBtr0343515	1092	920.989	0.240832	1.856
FBtr0072451	975	804.156	8.642822	58.144
FBtr0071607	2252	2080.989	2.929465	51.000
FBtr0081516	4704	4532.989	0.105478	4.000
FBtr0300749	931	760.208	2.529508	16.087
FBtr0346532	1185	1013.989	0.146841	1.246
FBtr0073076	880	709.214	59.945186	355.667
FBtr0089289	4677	4505.989	1.161270	43.776
FBtr0100448	4590	4418.989	1.815102	67.102
FBtr0089290	4681	4509.989	1.155629	43.602
FBtr0089288	4037	3865.989	7.597165	245.711
FBtr0100447	4417	4245.989	1.456359	51.732
FBtr0329933	4663	4491.989	1.212488	45.565
FBtr0336949	2826	2654.989	18.256671	405.505
FBtr0088786	1378	1206.989	68.620764	692.901
FBtr0088785	1869	1697.989	14.739426	209.376
FBtr0303077	607	436.373	0.000000	0.000
FBtr0339716	615	444.369	0.064124	0.238
FBtr0085459	600	429.373	69.809366	250.762
FBtr0070973	1218	1046.989	0.228337	2.000
FBtr0089252	2767	2595.989	1.083914	23.540
FBtr0334488	2840	2668.989	1.379653	30.806
FBtr0334489	2902	2730.989	1.014569	23.180
FBtr0100600	3804	3632.989	3.766444	114.474
FBtr0300305	309	138.551	0.000000	0.000
FBtr0077162	567	396.381	0.000000	0.000
FBtr0072277	713	542.317	48.490574	220.000
FBtr0344898	1082	910.989	0.000000	0.000
FBtr0086817	1175	1003.989	0.000000	0.000
FBtr0333271	5146	4974.989	0.368779	15.349
FBtr0072639	5149	4977.989	0.372308	15.505
FBtr0340000	824	653.255	0.622094	3.400
FBtr0087390	427	256.465	282.723435	606.600
FBtr0070472	3021	2849.989	2.201172	52.482
FBtr0331752	4499	4327.989	16.188440	586.143
FBtr0070475	3174	3002.989	6.085574	152.886
