gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
FBgn0013687	FBgn0013687	4608.00	4426.11	0.00	0.00	0.00
FBtr0005088	FBtr0005088	2411.00	2229.11	4049.32	221.57	177.87
FBtr0006151	FBtr0006151	2080.00	1898.11	0.00	0.00	0.00
FBtr0070000	FBtr0070000	3537.00	3355.11	8.00	0.29	0.23
FBtr0070002	FBtr0070002	1226.00	1044.11	0.00	0.00	0.00
FBtr0070003	FBtr0070003	1164.00	982.11	27.00	3.35	2.69
FBtr0070006	FBtr0070006	1667.00	1485.11	0.00	0.00	0.00
FBtr0070007	FBtr0070007	1131.00	949.11	385.00	49.48	39.72
FBtr0070008	FBtr0070008	1094.00	912.11	202.10	27.03	21.69
FBtr0070025	FBtr0070025	1244.00	1062.11	1006.92	115.63	92.83
FBtr0070026	FBtr0070026	1883.00	1701.11	350.00	25.10	20.15
FBtr0070027	FBtr0070027	2221.00	2039.11	284.84	17.04	13.68
FBtr0070028	FBtr0070028	2635.00	2453.11	14.96	0.74	0.60
FBtr0070029	FBtr0070029	1164.00	982.11	0.00	0.00	0.00
FBtr0070032	FBtr0070032	981.00	799.12	2.00	0.31	0.25
FBtr0070034	FBtr0070034	4359.00	4177.11	1.00	0.03	0.02
FBtr0070035	FBtr0070035	1129.00	947.11	1.00	0.13	0.10
FBtr0070036	FBtr0070036	611.00	429.14	1229.53	349.46	280.54
FBtr0070038	FBtr0070038	3000.00	2818.11	895.35	38.75	31.11
FBtr0070040	FBtr0070040	439.00	257.16	33.22	15.76	12.65
FBtr0070041	FBtr0070041	379.00	197.18	351.49	217.43	174.54
FBtr0070042	FBtr0070042	1536.00	1354.11	98.32	8.86	7.11
FBtr0070043	FBtr0070043	1561.00	1379.11	0.00	0.00	0.00
FBtr0070044	FBtr0070044	1423.00	1241.11	338.10	33.23	26.67
FBtr0070045	FBtr0070045	2227.00	2045.11	59.40	3.54	2.84
FBtr0070046	FBtr0070046	2844.00	2662.11	104.00	4.77	3.83
FBtr0070050	FBtr0070050	2191.00	2009.11	0.00	0.00	0.00
FBtr0070051	FBtr0070051	2034.00	1852.11	0.00	0.00	0.00
FBtr0070052	FBtr0070052	1059.00	877.11	1276.71	177.54	142.52
FBtr0070053	FBtr0070053	2418.00	2236.11	0.00	0.00	0.00
FBtr0070054	FBtr0070054	2034.00	1852.11	0.00	0.00	0.00
FBtr0070055	FBtr0070055	1060.00	878.11	1.24	0.17	0.14
FBtr0070056	FBtr0070056	1838.00	1656.11	7.00	0.52	0.41
FBtr0070057	FBtr0070057	1995.00	1813.11	0.00	0.00	0.00
FBtr0070058	FBtr0070058	3132.00	2950.11	3778.83	156.23	125.42
FBtr0070059	FBtr0070059	3252.00	3070.11	65.26	2.59	2.08
FBtr0070060	FBtr0070060	3228.00	3046.11	60.66	2.43	1.95
FBtr0070061	FBtr0070061	3264.00	3082.11	16.56	0.66	0.53
FBtr0070062	FBtr0070062	3129.00	2947.11	57.69	2.39	1.92
FBtr0070063	FBtr0070063	6538.00	6356.11	386.83	7.42	5.96
FBtr0070064	FBtr0070064	2054.00	1872.11	226.00	14.72	11.82
FBtr0070065	FBtr0070065	2110.00	1928.11	0.00	0.00	0.00
FBtr0070066	FBtr0070066	3352.00	3170.11	2.00	0.08	0.06
FBtr0070067	FBtr0070067	3376.00	3194.11	0.00	0.00	0.00
FBtr0070068	FBtr0070068	3402.00	3220.11	0.00	0.00	0.00
FBtr0070069	FBtr0070069	1055.00	873.11	0.00	0.00	0.00
FBtr0070070	FBtr0070070	1188.00	1006.11	67.00	8.12	6.52
FBtr0070071	FBtr0070071	2038.00	1856.11	213.00	14.00	11.24
FBtr0070072	FBtr0070072	917.00	735.12	0.00	0.00	0.00
FBtr0070073	FBtr0070073	1438.00	1256.11	0.00	0.00	0.00
FBtr0070074	FBtr0070074	1097.00	915.11	0.00	0.00	0.00
FBtr0070075	FBtr0070075	2430.00	2248.11	0.00	0.00	0.00
FBtr0070076	FBtr0070076	743.00	561.13	0.00	0.00	0.00
FBtr0070077	FBtr0070077	532.00	350.15	5.56	1.94	1.55
FBtr0070078	FBtr0070078	517.00	335.15	37.93	13.80	11.08
FBtr0070079	FBtr0070079	2345.00	2163.11	61.00	3.44	2.76
FBtr0070080	FBtr0070080	1119.00	937.11	2.00	0.26	0.21
FBtr0070081	FBtr0070081	5890.00	5708.11	0.00	0.00	0.00
FBtr0070084	FBtr0070084	5904.00	5722.11	0.00	0.00	0.00
FBtr0070085	FBtr0070085	3144.00	2962.11	294.20	12.11	9.72
FBtr0070086	FBtr0070086	3130.00	2948.11	0.00	0.00	0.00
FBtr0070087	FBtr0070087	5828.00	5646.11	0.00	0.00	0.00
FBtr0070088	FBtr0070088	1243.00	1061.11	186.21	21.40	17.18
FBtr0070089	FBtr0070089	1689.00	1507.11	67.79	5.49	4.40
FBtr0070090	FBtr0070090	1790.00	1608.11	27.61	2.09	1.68
FBtr0070091	FBtr0070091	2505.00	2323.11	123.38	6.48	5.20
FBtr0070092	FBtr0070092	1950.00	1768.11	1256.71	86.69	69.59
FBtr0070093	FBtr0070093	2123.00	1941.11	23.29	1.46	1.17
FBtr0070094	FBtr0070094	4342.00	4160.11	268.99	7.89	6.33
FBtr0070095	FBtr0070095	1861.00	1679.11	0.00	0.00	0.00
FBtr0070097	FBtr0070097	2309.00	2127.11	21.14	1.21	0.97
FBtr0070098	FBtr0070098	4142.00	3960.11	505.98	15.58	12.51
FBtr0070099	FBtr0070099	2279.00	2097.11	0.00	0.00	0.00
FBtr0070100	FBtr0070100	1310.00	1128.11	0.00	0.00	0.00
FBtr0070101	FBtr0070101	1805.00	1623.11	0.00	0.00	0.00
FBtr0070102	FBtr0070102	1821.00	1639.11	0.00	0.00	0.00
FBtr0070103	FBtr0070103	1492.00	1310.11	3.60	0.34	0.27
FBtr0070106	FBtr0070106	1601.00	1419.11	0.00	0.00	0.00
FBtr0070107	FBtr0070107	1630.00	1448.11	21.71	1.83	1.47
FBtr0070108	FBtr0070108	1731.00	1549.11	38.35	3.02	2.42
FBtr0070109	FBtr0070109	5422.00	5240.11	0.00	0.00	0.00
FBtr0070110	FBtr0070110	3033.00	2851.11	0.00	0.00	0.00
FBtr0070115	FBtr0070115	1175.00	993.11	289.00	35.49	28.49
FBtr0070116	FBtr0070116	2256.00	2074.11	15.86	0.93	0.75
FBtr0070117	FBtr0070117	2199.00	2017.11	0.00	0.00	0.00
FBtr0070118	FBtr0070118	2197.00	2015.11	84.14	5.09	4.09
FBtr0070119	FBtr0070119	3680.00	3498.11	241.00	8.40	6.75
FBtr0070120	FBtr0070120	4901.00	4719.11	232.06	6.00	4.81
FBtr0070121	FBtr0070121	1550.00	1368.11	180.59	16.10	12.92
FBtr0070122	FBtr0070122	696.00	514.13	443.27	105.16	84.42
FBtr0070123	FBtr0070123	1087.00	905.11	67.26	9.06	7.28
FBtr0070124	FBtr0070124	1472.00	1290.11	0.00	0.00	0.00
FBtr0070125	FBtr0070125	845.00	663.12	172.17	31.67	25.42
FBtr0070126	FBtr0070126	935.00	753.12	332.22	53.80	43.19
FBtr0070127	FBtr0070127	1050.00	868.11	64.38	9.05	7.26
FBtr0070128	FBtr0070128	913.00	731.12	15.90	2.65	2.13
FBtr0070129	FBtr0070129	869.00	687.12	0.00	0.00	0.00
FBtr0070130	FBtr0070130	8960.00	8778.11	0.00	0.00	0.00
FBtr0070131	FBtr0070131	8984.00	8802.11	295.14	4.09	3.28
FBtr0070132	FBtr0070132	8908.00	8726.11	0.00	0.00	0.00
FBtr0070133	FBtr0070133	8843.00	8661.11	0.00	0.00	0.00
FBtr0070134	FBtr0070134	1236.00	1054.11	326.00	37.72	30.28
FBtr0070135	FBtr0070135	2124.00	1942.11	207.78	13.05	10.48
FBtr0070136	FBtr0070136	2103.00	1921.11	101.56	6.45	5.18
FBtr0070137	FBtr0070137	2193.00	2011.11	18.65	1.13	0.91
FBtr0070138	FBtr0070138	2249.00	2067.11	4.00	0.24	0.19
FBtr0070139	FBtr0070139	2671.00	2489.11	0.00	0.00	0.00
FBtr0070140	FBtr0070140	3208.00	3026.11	427.59	17.23	13.84
FBtr0070141	FBtr0070141	1743.00	1561.11	550.10	42.98	34.50
FBtr0070142	FBtr0070142	475.00	293.16	0.00	0.00	0.00
FBtr0070145	FBtr0070145	1802.00	1620.11	4.00	0.30	0.24
FBtr0070146	FBtr0070146	3619.00	3437.11	650.00	23.07	18.52
FBtr0070147	FBtr0070147	1603.00	1421.11	2.00	0.17	0.14
FBtr0070148	FBtr0070148	1100.00	918.11	9018.00	1198.04	961.74
FBtr0070149	FBtr0070149	1565.00	1383.11	3.00	0.26	0.21
FBtr0070150	FBtr0070150	1686.00	1504.11	3.00	0.24	0.20
FBtr0070151	FBtr0070151	6137.00	5955.11	458.44	9.39	7.54
FBtr0070155	FBtr0070155	568.00	386.14	2125.57	671.41	538.98
FBtr0070156	FBtr0070156	555.00	373.14	788.72	257.81	206.96
FBtr0070157	FBtr0070157	535.00	353.15	120.07	41.47	33.29
FBtr0070158	FBtr0070158	592.00	410.14	35.23	10.48	8.41
FBtr0070159	FBtr0070159	387.00	205.18	227.00	134.95	108.33
FBtr0070160	FBtr0070160	499.00	317.15	74.00	28.46	22.85
FBtr0070161	FBtr0070161	4310.00	4128.11	0.00	0.00	0.00
FBtr0070163	FBtr0070163	881.00	699.12	1.00	0.17	0.14
FBtr0070164	FBtr0070164	634.00	452.13	0.00	0.00	0.00
FBtr0070165	FBtr0070165	602.00	420.14	86.00	24.97	20.04
