Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	338.420	0.000000	0.000
FBtr0300738	2350	2178.987	0.260801	4.754
FBtr0300739	2172	2000.987	0.409328	6.852
FBtr0300737	2184	2012.987	0.358771	6.042
FBtr0300736	2338	2166.987	0.287520	5.212
FBtr0078628	2467	2295.987	0.234842	4.511
FBtr0300740	2479	2307.987	0.216230	4.175
FBtr0078627	2301	2129.987	0.307628	5.482
FBtr0300741	2313	2141.987	0.277454	4.972
FBtr0072762	889	718.217	68.414148	411.068
FBtr0346821	1270	1098.987	3.791724	34.861
FBtr0331460	900	729.216	0.292963	1.787
FBtr0303848	5005	4833.987	5.047176	204.110
FBtr0086122	1465	1293.987	0.831383	9.000
FBtr0335147	3125	2953.987	2.337015	57.754
FBtr0081459	3019	2847.987	19.325251	460.442
FBtr0305321	6523	6351.987	0.474521	25.216
FBtr0083716	5665	5493.987	14.964185	687.784
FBtr0078184	1305	1133.987	0.316229	3.000
FBtr0081691	765	594.297	0.000000	0.000
FBtr0085263	1228	1056.987	0.339266	3.000
FBtr0086342	492	321.432	0.000000	0.000
FBtr0086343	495	324.430	0.000000	0.000
FBtr0091847	1023	851.987	1.342758	9.571
FBtr0072393	1393	1221.987	76.706625	784.171
FBtr0343502	867	696.223	0.443073	2.581
FBtr0343753	3569	3397.987	3.733806	106.141
FBtr0433525	3725	3553.987	0.254161	7.557
FBtr0113895	961	790.188	22.883040	151.271
FBtr0345179	887	716.217	49.188862	294.729
FBtr0334135	4703	4531.987	0.322367	12.222
FBtr0334137	4561	4389.987	0.751701	27.607
FBtr0334141	5321	5149.987	0.211150	9.097
FBtr0334139	4203	4031.987	0.571378	19.273
FBtr0334140	5704	5532.987	0.174391	8.072
FBtr0344148	4894	4722.987	0.276956	10.943
FBtr0334142	5071	4899.987	0.245161	10.050
FBtr0334138	5563	5391.987	0.186297	8.404
FBtr0334136	3862	3690.987	1.241373	38.332
FBtr0085105	995	824.138	4.206169	29.000
FBtr0346720	2745	2573.987	0.000000	0.000
FBtr0076089	442	271.451	0.000000	0.000
FBtr0087500	1417	1245.987	8.730043	91.000
FBtr0073094	1694	1522.987	5.935720	75.628
FBtr0073093	1577	1405.987	75.441981	887.372
FBtr0343515	1092	920.987	0.240836	1.856
FBtr0072451	975	804.161	8.642785	58.144
FBtr0071607	2252	2080.987	2.929472	51.000
FBtr0081516	4704	4532.987	0.105479	4.000
FBtr0300749	931	760.215	2.529520	16.087
FBtr0346532	1185	1013.987	0.146843	1.246
FBtr0073076	880	709.219	59.944850	355.667
FBtr0089289	4677	4505.987	1.161163	43.772
FBtr0100448	4590	4418.987	1.816138	67.140
FBtr0089290	4681	4509.987	1.155663	43.603
FBtr0089288	4037	3865.987	7.595774	245.665
FBtr0100447	4417	4245.987	1.456344	51.731
FBtr0329933	4663	4491.987	1.212527	45.566
FBtr0336949	2826	2654.987	18.257149	405.515
FBtr0088786	1378	1206.987	68.620989	692.901
FBtr0088785	1869	1697.987	14.739453	209.376
FBtr0303077	607	436.376	0.000000	0.000
FBtr0339716	615	444.372	0.064134	0.238
FBtr0085459	600	429.377	69.808931	250.762
FBtr0070973	1218	1046.987	0.228337	2.000
FBtr0089252	2767	2595.987	1.083917	23.540
FBtr0334488	2840	2668.987	1.379657	30.806
FBtr0334489	2902	2730.987	1.014571	23.180
FBtr0100600	3804	3632.987	3.766453	114.474
FBtr0300305	309	138.547	0.000000	0.000
FBtr0077162	567	396.385	0.000000	0.000
FBtr0072277	713	542.323	48.490097	220.000
FBtr0344898	1082	910.987	0.000000	0.000
FBtr0086817	1175	1003.987	0.000000	0.000
FBtr0333271	5146	4974.987	0.369152	15.364
FBtr0072639	5149	4977.987	0.371937	15.489
FBtr0340000	824	653.261	0.622085	3.400
FBtr0087390	427	256.463	282.726930	606.600
FBtr0070472	3021	2849.987	2.201182	52.482
FBtr0331752	4499	4327.987	16.188436	586.141
FBtr0070475	3174	3002.987	6.085645	152.887
FBtr0070474	3218	3046.987	1.173257	29.907
FBtr0302185	2166	1994.987	0.398215	6.646
FBtr0070471	4805	4633.987	8.356556	323.962
FBtr0112828	2903	2731.987	5.692882	130.113
FBtr0301966	3182	3010.987	0.695881	17.529
FBtr0070468	3055	2883.987	9.325553	224.998
FBtr0070476	2745	2573.987	0.566528	12.199
FBtr0070470	3110	2938.987	1.281968	31.520
FBtr0331751	4750	4578.987	0.898455	34.417
FBtr0070469	4244	4072.987	9.149608	311.765
FBtr0070467	2929	2757.987	0.458138	10.571
FBtr0331753	5004	4832.987	0.534785	21.623
FBtr0070466	2847	2675.987	4.014653	89.876
FBtr0070473	3091	2919.987	1.449802	35.416
FBtr0076265	1575	1403.987	49.039624	575.999
FBtr0331935	1030	858.987	0.161418	1.160
FBtr0088237	816	645.266	92.593567	499.840
FBtr0081705	1363	1191.987	0.000000	0.000
FBtr0088524	1299	1127.987	69.092674	652.000
FBtr0074540	843	672.246	19.381467	109.000
FBtr0074494	1357	1185.987	0.302364	3.000
FBtr0085714	3349	3177.987	129.838747	3451.976
FBtr0085713	3440	3268.987	1016.128654	27789.024
FBtr0076256	334	163.537	2.923691	4.000
FBtr0339552	1718	1546.987	11.307644	146.342
FBtr0078950	1533	1361.987	23.227362	264.658
FBtr0070990	1321	1149.987	0.751824	7.233
FBtr0100409	805	634.277	0.725115	3.848
FBtr0343330	706	535.327	105.607168	472.960
FBtr0304902	1617	1445.987	0.041609	0.503
