Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	223.213	0	0
FBgn0267873	257	88.66	0	0
FBgn0267896	719	518.567	0.01165	0.136
FBgn0260225	1197	996.567	0.063056	1.416
FBgn0040928	1085	884.567	4.96554	99
FBgn0262789	532	331.572	0.401426	3
FBgn0058461	391	192.4	2.15989	9.366
FBgn0042701	620	419.567	1.86435	17.631
FBgn0263493	352	156.898	13.6207	48.168
FBgn0265917	359	163.039	0	0
FBgn0262163	610	409.567	0.216654	2
FBgn0085831	237	78.309	0	0
FBgn0267108	321	131.306	11.9349	35.322
FBgn0051032	770	569.567	7.08858	91
FBgn0266102	391	192.4	2.72989	11.838
FBgn0053867	526	325.574	0.005145	0.038
FBgn0267026	323	132.87	1.08887	3.261
FBgn0267519	2689	2488.57	3784.15	212254
FBgn0058005	1227	1026.57	0.44178	10.222
FBgn0039979	803	602.567	6.60905	89.76
FBgn0053318	523	322.576	0.881296	6.408
FBgn0053805	440	239.915	0.001521	0.008
FBgn0267419	780	579.567	0	0
FBgn0267892	760	559.567	0.015512	0.196
FBgn0267902	582	381.567	5.8e-05	0
FBgn0262964	777	576.567	0.385378	5.008
FBgn0085790	1041	840.567	1.73076	32.79
FBgn0267879	601	400.567	0.000184	0.002
FBgn0085291	1130	929.567	0.102974	2.157
FBgn0263093	1189.42	988.992	23.9917	534.801
FBgn0267952	1290	1089.57	0.04072	1
FBgn0030117	636	435.567	0.527962	5.183
FBgn0058182	291	109.49	1e-06	0
FBgn0052518	75	27.086	4.91397	3
FBgn0027934	1345	1144.57	0	0
FBgn0085340	423	223.213	0	0
FBgn0263744	845	644.567	0.137665	2
FBgn0263210	221	70.964	0	0
FBtr0346869	123	39.106	10.1606	8.956
FBgn0267427	697	496.567	0	0
FBgn0263975	1131	930.567	3.6235	76
FBgn0267869	420	220.284	0.002724	0.014
FBgn0037560	961.005	760.572	67.7258	1161
FBgn0263212	220	70.53	0	0
FBgn0085732	1461.26	1260.83	78.4599	2229.67
FBgn0267593	610	409.567	0	0
FBgn0058100	394	195.24	11.2711	49.599
FBgn0264888	465	264.696	0.167616	1
FBgn0037143	1446	1245.57	0	0
FBgn0262510	501	300.593	76.9849	521.582
FBgn0263771	276	99.785	0	0
FBgn0053315	421	221.26	0	0
FBgn0050029	480	280.071	0	0
