Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	252.467	0	0
FBgn0267873	257	86.581	0	0
FBgn0267896	719	548.32	0.001091	0.005
FBgn0260225	1197	1025.99	0.057907	0.497
FBgn0040928	1085	913.987	2.74642	21
FBgn0262789	532	361.396	0	0
FBgn0058461	391	220.503	1.18564	2.187
FBgn0042701	620	449.368	1.69686	6.379
FBgn0263493	352	181.531	0.000279	0
FBgn0265917	359	188.528	0	0
FBgn0262163	610	439.375	0	0
FBgn0085831	237	66.596	0	0
FBgn0267108	321	150.543	4.31701	5.437
FBgn0051032	770	599.294	8.7761	44
FBgn0266102	391	220.503	0.005054	0.009
FBgn0053867	526	355.403	0.819752	2.437
FBgn0267026	323	152.542	0	0
FBgn0267519	2689	2517.99	2112.05	44490.7
FBgn0058005	1227	1055.99	0.536684	4.741
FBgn0039979	803	632.278	6.99115	36.98
FBgn0053318	523	352.408	0.67838	2
FBgn0053805	440	269.453	0.006565	0.015
FBgn0267419	780	609.289	0	0
FBgn0267892	760	589.3	0.000275	0.001
FBgn0267902	582	411.38	0.000228	0.001
FBgn0262964	777	606.291	0.197155	1
FBgn0085790	1041	869.987	0.151317	1.101
FBgn0267879	601	430.377	0.000236	0.001
FBgn0085291	1130	958.987	0.102313	0.821
FBgn0263093	1190.94	1019.93	16.9416	144.556
FBgn0267952	1290	1118.99	0.106823	1
FBgn0030117	636	465.349	0.046051	0.179
FBgn0058182	291	120.556	1.02278	1.032
FBgn0052518	75	25.533	0	0
FBgn0027934	1345	1173.99	0	0
FBgn0085340	423	252.467	0	0
FBgn0263744	845	674.244	0.177285	1
FBgn0263210	221	50.631	3.60098	1.525
FBtr0346869	123	47.494	25.0407	9.949
FBgn0267427	697	526.328	0	0
FBgn0263975	1131	959.987	2.49031	20
FBgn0267869	420	249.47	0.000494	0.001
FBgn0037560	962.89	792.069	49.1975	326
FBgn0263212	220	49.637	0	0
FBgn0085732	1466.78	1295.77	57.1747	619.788
FBgn0267593	610	439.375	0	0
FBgn0058100	394	223.499	4.3029	8.045
FBgn0264888	465	294.443	0.405964	1
FBgn0037143	1446	1274.99	0	0
FBgn0262510	501	330.425	2.67678	7.399
FBgn0263771	276	105.568	0	0
FBgn0053315	421	250.469	0	0
FBgn0050029	480	309.435	0	0
