Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	327.716	0.000000	0.000
FBtr0300738	2350	2168.336	0.160095	3.065
FBtr0300739	2172	1990.336	0.267045	4.694
FBtr0300737	2184	2002.336	0.248331	4.391
FBtr0300736	2338	2156.336	0.168770	3.214
FBtr0078628	2467	2285.336	0.146474	2.956
FBtr0300740	2479	2297.336	0.139745	2.835
FBtr0078627	2301	2119.336	0.215754	4.038
FBtr0300741	2313	2131.336	0.203136	3.823
FBtr0072762	889	707.540	71.322045	445.625
FBtr0346821	1270	1088.336	4.047537	38.900
FBtr0331460	900	718.537	2.477436	15.720
FBtr0303848	5005	4823.336	8.305215	353.748
FBtr0086122	1465	1283.336	0.617679	7.000
FBtr0335147	3125	2943.336	2.213965	57.545
FBtr0081459	3019	2837.336	18.906666	473.719
FBtr0305321	6523	6341.336	1.273317	71.304
FBtr0083716	5665	5483.336	18.022841	872.696
FBtr0078184	1305	1123.336	0.604849	6.000
FBtr0081691	765	583.619	0.000000	0.000
FBtr0085263	1228	1046.336	0.000000	0.000
FBtr0086342	492	310.727	0.000000	0.000
FBtr0086343	495	313.725	0.000000	0.000
FBtr0091847	1023	841.336	1.424442	10.583
FBtr0072393	1393	1211.336	13.586808	145.337
FBtr0343502	867	685.549	0.770205	4.663
FBtr0343753	3569	3387.336	4.054301	121.274
FBtr0433525	3725	3543.336	0.164661	5.152
FBtr0113895	961	779.500	24.712105	170.107
FBtr0345179	887	705.540	46.528773	289.893
FBtr0334135	4703	4521.336	0.280167	11.186
FBtr0334137	4561	4379.336	0.444988	17.209
FBtr0334141	5321	5139.336	0.200392	9.095
FBtr0334139	4203	4021.336	0.500876	17.787
FBtr0334140	5704	5522.336	0.165410	8.066
FBtr0344148	4894	4712.336	0.263125	10.949
FBtr0334142	5071	4889.336	0.216260	9.337
FBtr0334138	5563	5381.336	0.176736	8.399
FBtr0334136	3862	3680.336	1.014523	32.972
FBtr0085105	995	813.469	9.466136	68.000
FBtr0346720	2745	2563.336	0.000000	0.000
FBtr0076089	442	260.767	0.000000	0.000
FBtr0087500	1417	1235.336	11.458558	125.000
FBtr0073094	1694	1512.336	6.595952	88.089
FBtr0073093	1577	1395.336	76.686203	944.911
FBtr0343515	1092	910.336	0.180745	1.453
FBtr0072451	975	793.483	10.210780	71.547
FBtr0071607	2252	2070.336	3.336522	61.000
FBtr0081516	4704	4522.336	0.150243	6.000
FBtr0300749	931	749.530	1.877756	12.429
FBtr0346532	1185	1003.336	0.502921	4.456
FBtr0073076	880	698.543	62.269231	384.115
FBtr0089289	4677	4495.336	0.847804	33.655
FBtr0100448	4590	4408.336	1.164812	45.345
FBtr0089290	4681	4499.336	1.093725	43.456
FBtr0089288	4037	3855.336	9.805626	333.836
FBtr0100447	4417	4235.336	1.512228	56.559
FBtr0329933	4663	4481.336	1.147635	45.416
FBtr0336949	2826	2644.336	22.556914	526.734
FBtr0088786	1378	1196.336	82.017363	866.471
FBtr0088785	1869	1687.336	11.649654	173.584
FBtr0303077	607	425.692	0.000000	0.000
FBtr0339716	615	433.688	0.057945	0.222
FBtr0085459	600	418.693	82.701857	305.778
FBtr0070973	1218	1036.336	1.201980	11.000
FBtr0089252	2767	2585.336	2.363977	53.970
FBtr0334488	2840	2658.336	2.150230	50.477
FBtr0334489	2902	2720.336	0.814892	19.576
FBtr0100600	3804	3622.336	3.274648	104.749
FBtr0300305	309	127.863	0.000000	0.000
FBtr0077162	567	385.698	0.000000	0.000
FBtr0072277	713	531.641	55.593889	261.000
FBtr0344898	1082	900.336	0.000000	0.000
FBtr0086817	1175	993.336	0.000000	0.000
FBtr0333271	5146	4964.336	0.643281	28.200
FBtr0072639	5149	4967.336	0.588156	25.800
FBtr0340000	824	642.590	1.158437	6.574
FBtr0087390	427	245.781	101.098592	219.426
FBtr0070472	3021	2839.336	2.842897	71.281
FBtr0331752	4499	4317.336	14.964898	570.538
FBtr0070475	3174	2992.336	7.304041	193.005
FBtr0070474	3218	3036.336	0.538160	14.430
FBtr0302185	2166	1984.336	1.752345	30.706
FBtr0070471	4805	4623.336	10.096278	412.204
FBtr0112828	2903	2721.336	4.755786	114.288
FBtr0301966	3182	3000.336	0.948975	25.143
FBtr0070468	3055	2873.336	9.318980	236.456
FBtr0070476	2745	2563.336	0.381958	8.646
FBtr0070470	3110	2928.336	1.440854	37.259
FBtr0331751	4750	4568.336	1.312368	52.943
FBtr0070469	4244	4062.336	12.933368	463.962
FBtr0070467	2929	2747.336	0.486430	11.801
FBtr0331753	5004	4822.336	1.105648	47.084
FBtr0070466	2847	2665.336	1.575959	37.093
FBtr0070473	3091	2909.336	1.641071	42.162
FBtr0076265	1575	1393.336	56.078744	690.000
FBtr0331935	1030	848.336	0.148413	1.112
FBtr0088237	816	634.594	101.873216	570.888
FBtr0081705	1363	1181.336	0.000000	0.000
FBtr0088524	1299	1117.336	86.147008	850.000
FBtr0074540	843	661.582	24.305777	142.000
FBtr0074494	1357	1175.336	0.385392	4.000
FBtr0085714	3349	3167.336	116.294891	3252.743
FBtr0085713	3440	3258.336	853.019629	24544.257
FBtr0076256	334	152.852	2.963429	4.000
FBtr0339552	1718	1536.336	10.160215	137.843
FBtr0078950	1533	1351.336	27.750826	331.157
FBtr0070990	1321	1139.336	1.301039	13.090
FBtr0100409	805	623.599	0.413912	2.279
FBtr0343330	706	524.644	108.708318	503.643
FBtr0304902	1617	1435.336	0.424934	5.386
FBtr0304901	2286	2104.336	0.248292	4.614
FBtr0078872	1228	1046.336	0.108227	1.000
FBtr0077839	2112	1930.336	9.064389	154.513
FBtr0077837	2331	2149.336	2.733806	51.888
FBtr0077838	2235	2053.336	3.399838	61.647
FBtr0077836	2325	2143.336	25.410656	480.951
FBtr0075133	4018	3836.336	0.405503	13.737
FBtr0332862	2190	2008.336	3.679872	65.263
FBtr0087988	1754	1572.336	172.506500	2395.222
FBtr0087987	1948	1766.336	474.657667	7403.700
FBtr0074688	1633	1451.336	52.589249	674.000
FBtr0086864	3503	3321.336	13.603952	399.000
FBtr0083361	1283	1101.336	0.000000	0.000
FBtr0392904	4164	3982.336	9.137516	321.337
FBtr0084588	2385	2203.336	99.167415	1929.500
FBtr0303161	2639	2457.336	12.046405	261.407
FBtr0079257	1918	1736.336	16.239424	249.000
FBtr0307341	906	724.537	0.000259	0.002
FBtr0084989	527	345.707	0.000177	0.001
FBtr0306309	750	568.623	0.782143	3.927
FBtr0344570	539	357.702	0.022983	0.073
FBtr0078090	1219	1037.336	33.950487	311.000
FBtr0087439	546	364.702	25.461322	82.000
FBtr0070960	2096	1914.336	0.128516	2.173
FBtr0302357	2296	2114.336	0.105000	1.960
FBtr0302356	2428	2246.336	0.094311	1.871
FBtr0340571	3830	3648.336	0.015520	0.500
FBtr0340572	3825	3643.336	0.015541	0.500
FBtr0080267	3305	3123.336	0.000000	0.000
FBtr0077141	787	605.606	0.000000	0.000
FBtr0306593	981	799.476	0.000000	0.000
FBtr0081719	1938	1756.336	80.208022	1244.000
FBtr0071549	1655	1473.336	34.817809	453.000
FBtr0308832	1068	886.336	11.297495	88.425
FBtr0308833	2043	1861.336	29.905434	491.552
FBtr0074921	2263	2081.336	2.721623	50.022
FBtr0073011	1996	1814.336	0.062415	1.000
FBtr0112378	450	268.759	0.000000	0.000
FBtr0342602	1596	1414.336	0.202128	2.524
FBtr0080326	1217	1035.336	92.912601	849.476
FBtr0085405	675	493.652	182.827875	797.000
FBtr0339295	331	149.853	0.000000	0.000
FBtr0300316	205	29.386	0.000000	0.000
FBtr0300904	2130	1948.336	0.000000	0.000
FBtr0081633	2196	2014.336	0.000000	0.000
FBtr0300905	2052	1870.336	0.000000	0.000
FBtr0335279	1234	1052.336	0.075497	0.702
FBtr0335281	1199	1017.336	0.079287	0.712
FBtr0290216	733	551.633	0.000000	0.000
FBtr0335280	740	558.626	0.000000	0.000
FBtr0077120	1711	1529.336	17.607975	237.798
FBtr0081676	887	705.540	0.000000	0.000
FBtr0076639	2093	1911.336	0.153243	2.587
FBtr0079280	1148	966.336	0.234373	2.000
FBtr0304827	5797	5615.336	0.069272	3.435
FBtr0433494	6405	6223.336	0.120294	6.611
FBtr0333832	6581	6399.336	0.113656	6.423
FBtr0433497	5654	5472.336	0.072169	3.488
FBtr0333833	6118	5936.336	0.063562	3.332
FBtr0433496	5848	5666.336	0.066485	3.327
FBtr0304826	8410	8228.336	0.066212	4.811
FBtr0433495	8302	8120.336	0.067595	4.847
FBtr0433493	8251	8069.336	0.069571	4.957
FBtr0300808	2019	1837.336	0.000000	0.000
FBtr0300809	4061	3879.336	0.000000	0.000
FBtr0301700	4064	3882.336	0.000000	0.000
FBtr0072287	5108	4926.336	28.664701	1247.000
FBtr0343633	2816	2634.336	5.824899	135.505
FBtr0074281	2640	2458.336	55.595359	1206.910
FBtr0343632	2730	2548.336	2.294049	51.624
FBtr0074279	3898	3716.336	39.807473	1306.395
FBtr0074280	3895	3713.336	2.395938	78.566
FBtr0072238	1035	853.336	0.000000	0.000
FBtr0308073	1317	1135.336	0.955723	9.582
FBtr0082360	764	582.619	82.811780	426.061
FBtr0082361	1024	842.336	0.182439	1.357
FBtr0079938	1428	1246.336	4.179533	46.000
FBtr0077227	1279	1097.336	177.911598	1724.006
FBtr0091702	1278	1096.336	8.036479	77.804
FBtr0074882	2425	2243.336	19.126560	378.901
FBtr0332153	3588	3406.336	2.307350	69.406
FBtr0310476	2042	1860.336	3.414510	56.094
FBtr0100666	2416	2234.336	9.014578	177.864
FBtr0332726	2033	1851.336	2.675135	43.735
FBtr0080287	1089	907.336	24.705833	197.953
FBtr0309307	5887	5705.336	0.051227	2.581
FBtr0300898	5037	4855.336	0.009774	0.419
FBtr0080024	1050	868.336	9.389658	72.000
FBtr0077389	2263	2081.336	101.634159	1868.000
FBtr0290204	1958	1776.336	0.000000	0.000
FBtr0086689	848	666.579	20.543573	120.927
FBtr0306636	1574	1392.336	13.591683	167.114
FBtr0086687	1472	1290.336	17.773479	202.521
FBtr0086690	2195	2013.336	0.727122	12.928
