Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	327.690	0.000000	0.000
FBtr0300738	2350	2168.293	0.160071	3.065
FBtr0300739	2172	1990.293	0.267055	4.694
FBtr0300737	2184	2002.293	0.248290	4.391
FBtr0300736	2338	2156.293	0.168770	3.214
FBtr0078628	2467	2285.293	0.146472	2.956
FBtr0300740	2479	2297.293	0.139724	2.835
FBtr0078627	2301	2119.293	0.215757	4.038
FBtr0300741	2313	2131.293	0.203104	3.823
FBtr0072762	889	707.499	71.319371	445.623
FBtr0346821	1270	1088.293	4.047165	38.898
FBtr0331460	900	718.495	2.478006	15.724
FBtr0303848	5005	4823.293	8.304508	353.746
FBtr0086122	1465	1283.293	0.617644	7.000
FBtr0335147	3125	2943.293	2.213736	57.543
FBtr0081459	3019	2837.293	18.905306	473.720
FBtr0305321	6523	6341.293	1.273231	71.305
FBtr0083716	5665	5483.293	18.021328	872.695
FBtr0078184	1305	1123.293	0.604817	6.000
FBtr0081691	765	583.586	0.000000	0.000
FBtr0085263	1228	1046.293	0.000000	0.000
FBtr0086342	492	310.702	0.000000	0.000
FBtr0086343	495	313.700	0.000000	0.000
FBtr0091847	1023	841.293	1.424529	10.584
FBtr0072393	1393	1211.293	13.585961	145.336
FBtr0343502	867	685.511	0.770358	4.664
FBtr0343753	3569	3387.293	4.057466	121.379
FBtr0433525	3725	3543.293	0.164686	5.153
FBtr0113895	961	779.458	24.710043	170.098
FBtr0345179	887	705.499	46.528570	289.902
FBtr0334135	4703	4521.293	0.280142	11.186
FBtr0334137	4561	4379.293	0.444951	17.209
FBtr0334141	5321	5139.293	0.200374	9.095
FBtr0334139	4203	4021.293	0.500835	17.787
FBtr0334140	5704	5522.293	0.165395	8.066
FBtr0344148	4894	4712.293	0.263101	10.949
FBtr0334142	5071	4889.293	0.216241	9.337
FBtr0334138	5563	5381.293	0.176719	8.399
FBtr0334136	3862	3680.293	1.014461	32.973
FBtr0085105	995	813.426	9.465779	68.000
FBtr0346720	2745	2563.293	0.000000	0.000
FBtr0076089	442	260.745	0.000000	0.000
FBtr0087500	1417	1235.293	11.457921	125.000
FBtr0073094	1694	1512.293	6.595428	88.087
FBtr0073093	1577	1395.293	76.681759	944.913
FBtr0343515	1092	910.293	0.180715	1.453
FBtr0072451	975	793.440	10.210436	71.547
FBtr0071607	2252	2070.293	3.336290	61.000
FBtr0081516	4704	4522.293	0.150231	6.000
FBtr0300749	931	749.489	1.877761	12.429
FBtr0346532	1185	1003.293	0.502863	4.456
FBtr0073076	880	698.501	62.267338	384.115
FBtr0089289	4677	4495.293	0.849536	33.727
FBtr0100448	4590	4408.293	1.168676	45.499
FBtr0089290	4681	4499.293	1.096880	43.585
FBtr0089288	4037	3855.293	9.787943	333.260
FBtr0100447	4417	4235.293	1.510633	56.504
FBtr0329933	4663	4481.293	1.151103	45.557
FBtr0336949	2826	2644.293	22.561036	526.869
FBtr0088786	1378	1196.293	82.013322	866.475
FBtr0088785	1869	1687.293	11.648597	173.579
FBtr0303077	607	425.660	0.000000	0.000
FBtr0339716	615	433.654	0.057922	0.222
FBtr0085459	600	418.662	82.700530	305.778
FBtr0070973	1218	1036.293	1.201921	11.000
FBtr0089252	2767	2585.293	2.363836	53.971
FBtr0334488	2840	2658.293	2.150077	50.477
FBtr0334489	2902	2720.293	0.814823	19.576
FBtr0100600	3804	3622.293	3.274368	104.748
FBtr0300305	309	127.843	0.000000	0.000
FBtr0077162	567	385.670	0.000000	0.000
FBtr0072277	713	531.609	55.592175	261.000
FBtr0344898	1082	900.293	0.000000	0.000
FBtr0086817	1175	993.293	0.000000	0.000
FBtr0333271	5146	4964.293	0.643855	28.228
FBtr0072639	5149	4967.293	0.587482	25.772
FBtr0340000	824	642.553	1.158361	6.573
FBtr0087390	427	245.761	101.097686	219.427
FBtr0070472	3021	2839.293	2.842761	71.283
FBtr0331752	4499	4317.293	14.963759	570.541
FBtr0070475	3174	2992.293	7.303509	193.006
FBtr0070474	3218	3036.293	0.538116	14.430
FBtr0302185	2166	1984.293	1.752267	30.707
